,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
1070,4834,-0.08,-0.28,0.28,4.5760000000000005,-0.20199999999999999,0.027000000000000003,0.6962416876168162,0.14217999397108372,0.23223241858525845,5492.0,-142.0,165.0
1071,4839,-0.26,-0.26,0.32,4.526,-0.281,0.047,27.926955563811628,10.670916033783858,5.561481843761005,5645.0,-162.0,195.0
1072,4850,0.44,-0.26,0.04,4.564,-0.063,0.027000000000000003,17.33186745148354,0.8873915874322407,1.154521530054737,4823.0,-124.0,154.0
1073,4864,-0.04,-0.28,0.24,4.538,-0.273,0.027999999999999997,27.744694290631102,4.513493899988767,4.2517382042363,5750.0,-177.0,166.0
1074,4881,-0.16,-0.28,0.24,4.531000000000001,-0.303,0.031,16.00568182865525,1.716683593205527,3.0495639931647673,5897.0,-179.0,169.0
1075,4887,-0.08,-0.24,0.29,4.402,-0.256,0.12,19.52318466273929,0.34541653189602073,0.4168995587410542,5544.0,-159.0,192.0
1076,4907,-0.52,-0.28,0.3,4.414,-0.258,0.099,16.805544110052168,1.5196539851556778,2.1842348740990474,6126.0,-195.0,181.0
1077,4941,-0.34,-0.26,0.36,4.5969999999999995,-0.221,0.03,1.1284527049163637,0.2060486538770342,0.2632356850851487,5511.0,-145.0,184.0
1078,4961,-0.14,-0.28,0.34,4.6,-0.13699999999999998,0.027999999999999997,33.49951190492658,11.133017390090721,12.84855942661936,5228.0,-142.0,176.0
1079,4978,0.07,-0.25,0.23,4.561,-0.281,0.022000000000000002,23.95749644371389,0.32573003834677294,0.3350463431046542,5561.0,-168.0,172.0
1080,5018,0.02,-0.28,0.22,4.4910000000000005,-0.28300000000000003,0.049,18.725369237778338,2.5454031441971026,12.673217289988123,5696.0,-162.0,166.0
1081,5039,0.2,-0.28,0.2,4.585,-0.09,0.022000000000000002,18.69968295022267,5.164057530533892,5.622057626017831,4972.0,-134.0,167.0
1082,5084,0.07,-0.43,0.15,4.4110000000000005,-0.27399999999999997,0.057999999999999996,8.00916773168771,2.835363479403342,2.3800373526975083,6343.0,-229.0,153.0
1083,5085,0.32,-0.3,0.12,4.4030000000000005,-0.321,0.073,12.972462953549968,0.32376212008691496,0.4033470924277651,5857.0,-218.0,172.0
1084,5124,-0.12,-0.26,0.26,4.448,-0.26899999999999996,0.076,0.7401090643396058,0.1515218175625207,0.1532810161809176,5753.0,-152.0,158.0
1085,5135,,,,,,,17.676203136762794,2.086766331554349,3.7609894382543416,,,
1086,5159,0.21,-0.41,0.15,4.37,-0.33799999999999997,0.066,10.013024580982517,0.13100793558986723,0.13494146070109636,6423.0,-267.0,170.0
1087,5198,-0.22,-0.28,0.28,4.553999999999999,-0.253,0.031,24.61501354486783,0.2557605245032306,0.2653431892323077,5821.0,-191.0,181.0
1088,5216,-0.44,-0.26,0.32,4.465,-0.276,0.086,20.967720806330796,0.3074368683717381,0.3407961486849054,5803.0,-165.0,194.0
1089,5241,-0.1,-0.26,0.31,4.578,-0.24,0.026000000000000002,22.86022706767271,4.530673676216708,7.498827422731015,5463.0,-142.0,164.0
1090,5269,-0.02,-0.36,0.23,4.178999999999999,-0.355,0.135,19.87251077814829,0.22024815248407492,0.22526571499636816,6711.0,-218.0,140.0
1091,5278,,,,4.438,,,17.999876178601543,1.7190356049948043,9.654183842995636,5780.0,,
1092,5423,,,,,,,11.652441255737712,1.4026885382360934,1.65227800539561,,,
1093,5546,-0.2,-0.3,0.3,3.858,-0.015,0.016,2.7705539616730883,0.02142037451600487,0.022792218086679306,6362.0,-61.0,61.0
1094,5567,-0.92,-0.26,0.3,4.117,-0.258,0.34700000000000003,46.42068314817911,9.521165163827057,7.412815946826882,6070.0,-149.0,167.0
1095,5626,,,,,,,19.987363830053354,3.650744415787372,5.03563474867379,,,
1096,5790,-0.14,-0.3,0.24,4.279,-0.28600000000000003,0.146,14.05996890439986,0.6327948040841385,0.7016141704105898,6181.0,-178.0,148.0
1097,5837,-0.36,-0.28,0.38,4.588,-0.17,0.037000000000000005,23.57376490052702,4.49224983190858,10.10124012707831,5377.0,-170.0,223.0
1098,5855,-0.28,-0.3,0.22,4.456,-0.27899999999999997,0.047,18.34406971202492,2.5021129595490894,7.892516857088594,6328.0,-188.0,151.0
1099,5877,-0.14,-0.3,0.24,4.133,-0.272,0.23199999999999998,18.858198216280332,0.5353453809088542,0.8451577968107031,6290.0,-213.0,167.0
1100,5888,-0.28,-0.22,0.28,3.734,-0.41,0.7829999999999999,16.709799376361616,1.6571514585836695,3.580339681790715,5033.0,-107.0,123.0
1101,6102,-0.32,-0.3,0.28,4.421,-0.266,0.075,11.696667094980423,0.009348759657003214,0.010099582185517875,6137.0,-176.0,153.0
