id,period,period_err,sine_per,sine_height,acf_peak_per,med_dlag_per,dlag_per_err,h1,w1,lh1,hlocgrad,hloc_grad_scatter,width_grad,width_grad_scatter,asym_grad,asym_grad_scatter,num_of_peaks,harmonic_det,amp_all,amp_per
307,22.139859775,5.88133794285,358.564071337,0.154762502077,22.139859775,-9999.0,0.0,0.353786392871,13.8493745878,0.271361694401,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0106760128072,0.00275233064329
308,18.4835486823,0.998061842132,124.574112817,0.0492589107562,18.32898405,18.4835486823,0.998061842132,0.169041782884,8.13141261408,0.196297356054,-0.00165847467062,0.00131160256408,-0.0670059403749,2.2346291254,-0.0253013442052,0.726419224591,4.0,0.0,0.00196111783717,0.00153587544901
309,39.3002039608,0.516667364923,38.7408307792,0.195018801086,39.385860375,39.3002039608,0.516667364923,0.436869801277,15.9623921327,0.723246511736,-0.00602164276109,0.00887415194137,-0.0232235289446,0.192806933584,-0.00101577911661,0.057005461026,4.0,0.0,0.00746734924218,0.00317437923251
310,42.757412625,9.02599961323,39.8504892227,0.183641838485,42.757412625,-9999.0,0.0,0.595756781082,21.2544238892,0.975433183516,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0366808549966,0.00384060463851
311,44.3676491627,2.09276443928,46.3360151253,0.0797351116553,43.99364845,44.3676491627,2.09276443928,0.160718841849,17.5504523105,0.253005258034,-0.00196650109197,0.00478119817779,-0.0216679874357,4.01543348997,0.00291680274434,0.238883109908,4.0,0.0,0.0083838148886,0.00292270506973
312,18.4182118918,1.1309608855,126.716489411,0.142076375753,18.36985135,18.4182118918,1.1309608855,0.550862023697,8.68859663878,0.417526609396,-0.00814763397054,0.00208389967729,0.00980429434133,0.282909283736,-0.000365199215967,0.060714295901,3.0,0.0,0.00740316618451,0.00254138540662
313,18.380068175,4.03049304534,116.224746453,0.064346450855,18.380068175,-9999.0,0.0,0.107836876477,9.49100502318,0.125817241257,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0020517234477,0.00151126946635
314,37.4753141,8.24902195971,48.3195317266,0.0975389623831,37.4753141,-9999.0,0.0,0.130709463918,19.4247969107,0.265771434842,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0290809327846,0.00425748107504
315,16.704508875,4.36194648983,85.6086375987,0.0692523313729,16.704508875,-9999.0,0.0,0.148366625543,10.2715115943,0.221829913961,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.00237180256995,0.00134101917457
316,9.900103425,2.70500412501,10.2459405002,0.00683618832233,9.900103425,-9999.0,0.0,0.0243728067402,6.36974371357,0.0514433173507,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.00196021562372,0.00184020242227
317,16.0199816,3.10026477484,17.0886162092,0.0996135265741,16.0199816,-9999.0,0.0,0.547025797703,7.3005034918,0.812872440196,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0131491378441,0.00258142583443
318,34.328532,4.44183111364,166.463264519,0.0349512832083,34.328532,-9999.0,0.0,0.0487785843604,10.4596239064,0.0944336846093,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.00191145270406,0.0015311636844
319,38.9018620622,0.487055259654,39.4065169295,0.313383056191,38.7830677,38.9018620622,0.487055259654,0.548508828682,19.4899600965,1.08132485587,-0.00616119279402,0.00466857656325,-0.00255649512547,0.484891790992,-0.000546540355541,0.00192955128912,4.0,0.0,0.00883556924573,0.00473189316257
320,4.22976555,0.908498787601,148.999140941,0.153581598724,4.22976555,-9999.0,0.0,0.714763035518,2.13933294504,0.451905908025,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.00341697062006,0.000881798869694
321,19.8615078,5.15548053798,109.619503423,0.146466290257,19.8615078,-9999.0,0.0,0.349982896793,12.1401255708,0.437181402792,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0111432691629,0.00193620604459
322,1.51979848532,0.0137298553638,87.0809048389,0.0936737561301,1.522306925,1.51979848532,0.0137298553638,0.863195907838,0.697951970051,0.738174625701,-0.118083394302,3.55984695626e-05,0.0054236561064,5.9311220142e-06,-0.0133324321376,0.000510627256384,4.0,0.0,0.00308490499895,0.00115183141194
323,140.190584302,37.4208693065,137.993865702,0.131375877258,141.99343385,140.190584302,37.4208693065,0.204967470748,64.5780384013,0.451013349024,-0.00136877221005,0.0264055441041,-0.24353418911,434.097405243,-0.00796395474571,0.00261331763136,3.0,0.0,0.00554780846517,0.00282908135114
324,15.1657394949,0.173538243691,14.7448352939,0.089229328437,15.090250525,15.1657394949,0.173538243691,0.490984541897,7.62729136786,0.615075414014,-0.00563134720257,0.00019043573458,-0.000239965574824,0.00223512207548,0.000510016389981,0.00826313802864,4.0,0.0,0.00592481203008,0.00105263157895
325,22.5926321757,0.614674457924,182.833404663,0.102273382594,22.568966425,22.5926321757,0.614674457924,0.46683105893,10.2367473624,0.679914853335,-0.0115236261056,0.00123008002546,0.0990625794035,1.01275824938,-0.0123776183196,0.00556683012387,3.0,0.0,0.00565715434084,0.00228094855305
326,81.887852375,19.209894473,88.5784916132,0.207629835042,81.887852375,-9999.0,0.0,0.444749752816,45.2354595049,0.542476172729,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.0802908650205,0.013136537754
327,26.7905389759,0.192784193344,26.3966377423,0.165520128274,26.819165625,26.7905389759,0.192784193344,0.336274905612,12.7089596707,0.607809706421,-0.00207335940045,0.00144497807258,-0.000584883714747,0.197308983803,-0.00197545801226,0.00201704521249,4.0,0.0,0.00669936115373,0.00188043445558
328,16.93949585,3.9936074986,102.392114497,0.150462322018,16.93949585,-9999.0,0.0,0.383802876205,9.4041469377,0.365899903167,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,0.0,0.00647064134589,0.00112358423371
