# Title: Stellar Rotation Periods of the Kepler Objects of Interest: A Dearth of Close-in Planets around Fast Rotators
# Authors: A. McQuillan, T. Mazeh and S. Aigrain
#
# Table 1. Stellar rotation periods for the KOIs.
#
# koi_id - KOI number
# keplerid - KIC number
# teff - KIC effective temperature (K)
# logg - KIC surface gravity (dex)
# R_pl - Planet Radius (R_earth) from the NASA Exoplanet Archive (NEA)
# P_orb - Planet orbital period (days) from the NASA Exoplanet Archive (NEA)
# P_rot - Stellar rotation period (days)
# P_rot_err - Uncertainty on P_rot
# R_var - amplitude of periodic variablity (mmags)
# Flag - N - KIC values missing so NEA values used; G - likely giant;  E - published EB; 
# ... B - published blend; T - likely eclipsing binary identified in this work; 
# ... C - centroid motion shows transit and rotation modulation on different stars.
#
#
koi_id,keplerid,teff,logg,R_pl,P_orb,P_rot,P_rot_err,R_var,Flag
1675,5360920,5534,4.88,9.10,14.624,21.098,0.044,6.48,-
1681,5531953,3608,4.85,1.24,6.939,24.305,0.005,7.45,-
1683,6034945,5701,4.42,1.80,9.115,16.825,0.259,7.82,-
1684,6048024,6162,4.53,7.30,62.816,4.107,0.252,0.88,-
1687,6198999,4667,4.38,1.48,3.932,24.682,0.047,14.91,-
1692,6616218,5224,4.47,0.84,2.461,25.684,1.272,6.24,-
1701,7222086,7065,4.07,1.73,2.439,1.637,0.000,0.37,-
1702,7304449,3304,4.99,1.54,1.538,34.400,0.172,6.25,-
1704,7386827,5453,4.35,2.80,10.419,18.881,0.010,10.25,-
1711,7955580,4934,4.32,2.20,55.675,20.232,0.025,4.14,-
1716,9838949,4747,4.27,1.80,4.881,30.740,0.772,4.23,-
1721,10019065,5428,4.89,2.33,52.632,28.626,3.602,2.66,-
1725,10905746,3240,4.90,1.15,9.885,18.184,0.133,16.52,N
1731,8266276,4593,4.47,2.51,2.595,25.945,0.662,14.03,-
1732,6869184,5403,4.74,3.20,43.317,17.677,0.006,11.23,-
1738,4365645,5138,4.48,1.25,4.168,35.873,1.281,3.48,-
1747,7032421,5458,4.79,1.90,20.559,19.518,0.009,8.21,-
1751,9729691,5052,4.34,2.90,8.689,23.948,0.037,8.03,-
1758,6705142,5410,4.98,1.50,5.597,9.429,0.008,12.59,-
1760,3967760,5345,4.49,2.00,5.524,15.151,0.012,13.40,-
1779,9909735,5666,4.15,5.80,4.663,7.154,0.003,15.00,-
1781,11551692,4720,3.91,2.27,3.005,10.440,0.002,16.89,-
1784,10158418,5699,4.56,5.20,5.007,4.494,0.005,10.46,-
1786,3128793,4371,4.47,6.28,24.679,66.289,0.326,166.83,E
1788,2975770,4683,4.34,7.60,71.526,19.762,0.052,17.95,-
1797,10676014,4760,4.22,2.20,16.782,10.821,0.003,17.44,-
1798,6867766,5971,4.59,9.10,12.965,9.926,0.001,3.53,-
1799,6058614,5735,4.61,49.00,1.731,1.711,0.000,30.31,T
1800,11017901,5382,4.44,6.20,7.794,6.459,0.003,18.20,-
1801,5088591,5178,4.47,3.40,14.532,7.552,0.001,21.40,-
1802,11298298,5868,4.50,2.42,5.249,13.761,0.147,5.86,-
1803,4349442,4882,4.20,1.80,4.539,22.044,5.237,19.67,-
1805,4644952,5647,4.08,2.95,4.363,13.371,0.012,16.09,-
1808,7761918,6032,4.35,4.00,89.193,8.249,0.104,1.52,-
1809,8240797,5692,4.47,1.41,4.915,21.125,1.785,1.38,N
1812,6279974,6022,4.41,4.80,0.805,1.609,0.000,0.64,T
1813,9455325,5359,4.37,3.00,9.768,18.259,0.030,9.05,-
1815,9872283,4680,3.98,1.80,3.127,18.626,0.013,13.41,-
1818,7870032,5543,4.33,3.50,16.877,15.836,0.006,9.75,-
1819,9597058,5258,4.86,1.98,12.057,12.786,0.013,20.68,-
1820,8277797,5297,4.21,1.97,1.654,18.991,0.012,8.88,-
1822,5124667,5950,4.21,3.50,150.881,11.534,0.070,0.56,-
1825,5375194,5432,4.06,4.20,13.523,10.187,0.003,12.17,-
1829,7697568,5186,4.54,29.00,22.841,18.806,0.021,11.96,-
1830,3326377,4926,4.49,2.43,13.227,18.347,0.044,15.95,-
1832,11709244,5550,4.41,3.00,4.544,14.168,0.009,18.58,-
1833,11853878,4300,4.67,1.65,3.693,10.581,0.007,16.07,-
1835,9471268,5004,4.16,2.92,2.248,9.646,0.002,12.95,-
1837,10657406,5174,4.39,2.50,34.173,18.125,0.006,16.59,-
1838,5526527,4399,4.28,2.40,16.737,9.191,0.004,40.43,-
1839,5856571,5263,3.95,4.77,9.591,6.248,0.001,19.88,-
1840,7765528,5869,4.37,4.10,7.039,5.590,0.003,15.24,-
1841,11760231,5051,4.42,2.40,49.608,25.320,0.200,5.03,-
1842,7779077,5389,4.41,2.60,16.842,11.223,0.015,13.84,-
1843,5080636,3584,4.80,1.28,4.195,34.387,0.095,10.97,-
1845,3338885,4717,4.01,1.50,1.970,39.707,0.265,3.48,-
1847,6776401,5160,4.41,2.60,26.853,21.184,0.056,10.22,-
1848,7430034,6025,4.44,2.40,49.625,18.725,0.041,1.91,-
1849,9735426,5066,4.70,2.40,8.088,26.773,0.432,5.94,-
1851,10464050,5712,4.63,2.30,4.470,14.023,0.058,10.04,-
1854,9662811,5435,4.17,3.14,43.033,24.384,1.472,1.81,-
1856,11570749,5203,4.14,4.35,46.295,27.566,0.154,6.77,-
1857,11297236,5619,4.53,2.70,88.646,22.474,3.535,1.03,-
1858,8160953,5503,4.44,1.94,86.048,18.525,0.026,12.11,-
1860,4157325,5708,4.37,1.61,3.077,21.473,1.376,2.63,-
1861,3648437,5938,4.72,2.48,17.504,6.524,0.007,16.08,-
1863,11126381,5975,4.58,2.50,33.789,11.533,0.062,4.79,-
1866,9520838,5741,4.54,3.90,105.308,18.283,1.046,4.98,-
1867,8167996,3799,4.75,1.20,2.550,25.090,4.406,3.43,-
1868,6773862,3950,4.69,2.04,17.761,24.789,0.016,8.32,-
1870,10187159,5004,4.30,2.20,7.964,33.227,0.989,5.48,-
1871,9758089,4449,4.65,2.21,92.725,44.099,8.057,3.56,-
1875,9967771,5714,4.48,2.30,9.917,31.085,1.232,1.69,-
1877,10454632,4818,4.16,3.79,20.160,25.953,0.023,11.59,-
1879,8367644,3635,4.85,5.50,22.085,21.843,0.007,9.73,-
1880,10332883,3855,4.72,1.49,1.151,19.260,0.032,6.53,-
1881,4035640,5093,4.47,2.90,28.267,18.436,0.009,18.55,-
1883,11758544,6063,4.34,1.07,2.707,11.485,0.168,0.79,-
1884,4851530,5077,4.49,2.63,4.775,11.431,0.004,10.73,-
1886,9549648,6065,4.00,2.50,5.992,7.306,0.045,0.60,-
1889,11074178,5537,4.58,1.90,9.182,19.836,0.034,6.83,-
1890,7449136,5936,4.35,1.50,4.336,6.398,0.002,0.57,-
1892,9030537,5468,4.68,3.00,62.563,25.948,0.137,3.36,-
1895,4263293,4288,4.73,2.10,8.458,8.662,0.001,34.94,-
1900,9353314,4251,4.55,1.51,5.185,18.133,0.020,11.59,-
1904,8766650,4908,4.06,3.67,12.440,21.036,0.042,10.37,-
1905,10328393,4942,4.33,1.40,7.626,23.637,0.107,7.65,-
1907,7094486,3901,4.71,1.94,11.350,18.181,0.006,9.91,-
1908,5706966,4174,4.51,1.44,12.551,24.230,0.039,10.21,-
1909,10130039,5856,4.46,1.11,5.470,16.675,0.115,1.43,-
1910,8226050,5138,4.47,2.40,34.267,34.145,4.058,2.38,-
1911,9965957,5276,4.55,2.20,5.753,17.263,0.037,21.41,-
1913,9704384,5416,4.41,1.34,5.509,21.837,0.486,4.31,-
1914,8426567,4843,4.11,6.30,18.931,12.772,0.046,10.51,-
1916,6037581,5776,4.53,0.92,2.025,10.258,0.060,4.06,-
1920,8218379,5303,4.60,2.20,16.571,26.377,0.027,4.72,-
1923,4989057,5352,4.20,3.20,7.234,31.835,4.300,1.80,-
1931,10978763,5417,4.72,1.58,4.978,16.916,0.005,15.95,-
1934,4242147,4389,4.77,1.75,28.783,16.440,0.023,7.38,-
1937,10190777,4212,4.55,1.30,1.411,22.829,0.026,14.82,-
1939,7045496,5239,4.73,2.20,13.475,14.621,0.018,25.12,-
1940,10005788,4218,4.58,0.68,6.737,18.750,0.015,8.31,-
1942,2832589,5081,4.83,2.85,10.850,21.230,0.052,12.62,-
1944,2438513,6265,3.98,6.00,12.184,13.543,0.017,13.94,-
1958,9836149,5722,4.82,2.94,17.816,10.527,0.011,15.54,-
1959,4813563,4741,4.44,2.20,36.516,25.656,0.036,3.27,-
1961,7269493,5331,3.95,2.18,1.908,20.582,0.013,4.85,-
1964,7887791,5315,3.84,0.73,2.229,25.785,2.743,2.72,-
1969,9244756,5435,4.58,2.33,16.344,12.666,0.094,9.40,-
1971,9347009,4872,4.77,2.14,19.330,25.657,0.197,8.26,-
1972,11253711,5816,4.50,2.00,17.791,20.981,0.465,1.13,-
1973,4917596,4360,4.49,1.85,3.290,12.969,0.002,8.35,-
1977,9412760,4250,4.58,0.69,7.415,13.019,0.012,10.32,-
1978,9518318,5693,4.48,3.10,6.511,22.223,0.143,4.38,-
1979,7273277,5509,4.47,1.13,2.714,33.935,0.079,0.71,-
1980,11769890,5431,4.59,2.80,122.877,22.065,0.030,7.59,-
1982,6862721,5357,4.62,2.50,4.888,9.147,0.005,15.20,-
1985,8142942,4814,4.24,1.60,5.756,25.791,0.223,9.06,-
1988,9044228,4604,4.03,1.10,0.935,34.921,6.985,3.17,-
1989,10779233,5564,4.28,3.05,201.123,18.792,0.033,5.83,-
1996,4736569,4619,4.51,2.41,10.132,20.324,0.021,33.31,-
1998,9834040,6001,4.64,3.00,6.774,14.776,0.224,2.42,-
2000,8802693,5247,4.66,2.50,26.411,21.470,0.197,6.21,-
2001,6061773,4948,4.19,2.40,8.277,16.362,0.020,25.08,-
2002,10024701,5783,4.52,1.39,14.375,10.116,0.617,3.93,-
2005,6665512,4360,4.58,1.67,6.921,16.002,0.014,6.42,-
2006,10525027,3809,4.79,0.88,3.273,28.753,0.041,8.86,-
2007,11069176,5821,4.41,1.52,21.129,15.000,0.043,4.76,-
2011,5384079,6154,4.48,1.47,7.057,3.878,0.002,0.46,-
2012,9839821,5615,4.89,2.71,34.853,13.240,0.038,9.71,-
2013,4056616,4115,4.65,0.86,2.414,14.900,0.016,8.02,-
2017,8750043,5554,4.52,1.31,2.295,11.823,0.006,24.65,-
2019,6226290,5545,4.63,2.70,14.088,13.602,0.013,11.18,-
2021,6356207,4883,4.74,1.57,3.764,19.167,0.021,17.60,-
2022,8564674,5696,4.82,1.88,5.930,7.799,0.001,19.77,-
2023,8578780,5262,4.41,2.20,13.591,22.289,0.690,5.77,-
2025,4636578,6215,4.25,1.64,11.190,3.158,0.741,0.77,-
2026,11923284,6176,4.30,1.94,2.758,9.749,0.079,4.87,-
2029,9489524,5072,4.71,0.82,10.055,15.983,0.020,20.27,-
2031,5940165,4310,4.58,1.58,9.304,15.786,0.025,8.24,-
2034,3657758,5443,4.55,3.20,3.609,10.577,0.005,23.56,-
2035,9790806,5445,4.29,2.64,1.932,7.043,0.008,14.68,-
2036,6382217,3903,4.74,0.98,5.795,32.402,0.028,13.86,-
2037,9634821,4836,4.30,3.00,8.563,10.740,0.006,15.69,-
2038,8950568,5497,4.64,1.99,8.306,23.498,0.066,6.80,-
2039,8804845,5429,4.97,1.70,5.426,17.422,0.024,12.68,-
2042,9111849,6349,3.84,9.50,63.073,0.886,0.000,1.03,-
2044,9656252,5805,4.51,3.40,16.923,17.598,0.106,4.34,-
2045,6026438,4484,4.59,1.55,5.477,28.364,0.088,4.96,-
2047,11457726,6326,4.33,1.72,6.222,10.714,0.032,0.81,-
2048,8956206,4997,4.75,1.74,6.180,16.887,0.010,22.89,-
2052,3248501,6097,4.55,4.10,4.225,4.154,0.000,10.43,-
2056,10134152,5806,4.72,2.56,39.314,20.039,0.069,2.31,-
2057,9573685,3900,4.73,1.12,5.946,30.114,0.020,13.36,-
2058,10329835,3900,4.73,1.11,1.524,21.968,0.150,3.27,-
2060,9279354,4625,4.51,1.99,2.800,21.966,0.024,16.50,-
2075,10857519,6145,4.16,1.42,2.053,8.513,1.079,0.92,-
2078,9351316,4193,4.59,1.77,18.784,12.720,0.002,17.24,-
2080,10864531,5652,4.55,2.80,34.061,21.723,0.047,5.71,-
2084,3967326,5029,4.33,3.50,4.196,9.592,0.003,19.22,-
2087,6922710,5912,4.28,1.60,23.128,13.874,0.018,2.17,-
2090,11348997,3688,4.75,1.50,5.133,36.421,0.051,11.79,-
2091,5705819,5075,4.62,2.55,8.780,19.190,1.129,5.31,-
2094,8505920,5213,4.30,2.20,42.422,19.374,0.369,6.30,-
2095,7918992,5484,4.67,1.11,1.435,14.776,0.049,2.93,-
2101,9411412,4136,4.59,1.17,2.892,14.251,0.006,7.64,-
2104,10854546,5925,4.38,3.00,2.168,21.901,2.111,2.33,-
2106,12017109,5567,4.81,2.20,9.754,20.505,0.035,6.60,-
2109,11499228,6060,4.47,2.02,19.792,10.978,0.045,1.64,-
2110,11460462,6216,4.32,1.14,5.037,4.192,0.004,0.40,-
2111,8612275,5724,4.42,1.74,3.290,10.252,0.008,17.26,-
2114,6921944,4061,4.43,1.33,4.422,13.483,0.002,8.33,-
2115,9532052,5184,4.45,3.80,15.726,10.464,0.014,10.26,-
2117,4140813,4298,4.72,1.77,13.360,19.310,0.014,8.11,-
2119,4055304,5022,4.50,1.31,0.571,17.985,0.019,26.53,-
2120,4857213,4964,4.23,2.80,8.774,19.883,0.015,7.87,-
2121,9415108,5356,4.73,1.39,4.510,17.892,0.008,9.48,-
2124,11462341,4103,4.51,1.05,42.337,15.828,0.005,4.58,-
2125,9405595,6000,4.52,2.50,23.360,16.279,0.058,3.15,-
2129,9351920,5677,4.91,1.77,8.796,19.244,3.149,1.87,-
2130,2161536,3972,4.69,1.66,16.855,27.266,0.084,8.26,-
2132,9661979,5299,4.54,2.10,69.894,21.572,0.512,1.37,-
2146,6774537,4825,4.49,1.50,2.949,29.354,0.014,6.78,-
2149,10617017,6089,4.20,1.53,13.151,7.425,0.128,0.43,-
2150,3229150,5664,4.61,2.80,18.507,17.996,0.148,4.90,-
2156,2556650,3694,4.79,3.30,2.852,28.464,0.088,8.35,-
2159,8804455,5627,4.74,1.07,7.597,19.121,2.141,2.67,-
2166,4370527,5399,4.62,3.20,61.619,19.873,0.106,8.50,-
2167,6041734,5994,4.41,1.58,6.957,10.658,0.024,12.90,-
2169,9006186,5299,4.38,0.48,2.193,27.633,0.201,6.68,-
2171,11410904,5708,4.79,1.40,3.532,11.222,0.021,22.69,-
2172,4173026,5516,4.43,2.50,10.441,11.522,0.065,20.36,-
2173,11774991,4666,4.49,1.10,37.815,17.068,0.014,12.07,-
2174,8261920,4221,4.56,1.35,6.693,11.549,0.004,9.76,-
2177,10965588,5175,4.82,2.19,62.891,24.665,0.170,5.98,-
2179,10670119,3591,4.85,1.60,2.733,19.457,0.006,10.13,-
2180,7286911,5440,4.59,1.80,11.556,27.964,0.484,2.56,-
2181,8591173,4943,4.20,3.77,12.289,11.280,0.002,18.35,-
2189,5730445,4825,4.32,57.00,33.358,38.733,7.716,4.52,-
2191,5601258,3724,4.79,1.29,8.848,17.789,0.005,11.76,-
2193,8282651,4322,4.58,1.71,2.362,30.821,1.655,3.40,-
2200,10909127,5534,4.44,1.71,3.171,24.882,0.438,3.14,-
2202,4144576,5123,4.66,1.04,0.813,26.893,0.058,11.32,-
2210,4142847,4762,4.59,1.43,2.889,23.389,0.053,10.31,-
2214,10328458,4658,4.65,1.13,2.352,34.465,1.386,3.66,-
2215,7050060,5647,4.47,0.81,22.041,22.051,0.004,0.84,N
2217,9580992,5164,4.66,1.90,37.802,29.721,0.047,7.15,-
2219,5357545,4853,4.63,1.08,3.757,42.239,6.896,2.99,-
2223,9278725,4851,4.53,1.54,1.104,17.019,0.017,14.70,-
2225,11569782,4655,4.13,1.12,2.788,15.844,0.022,6.71,-
2228,10801100,6622,4.32,2.10,102.656,9.511,0.005,0.90,N
2229,4473226,5571,4.46,2.90,14.832,15.527,0.035,12.40,-
2238,8229458,3900,4.73,1.07,1.647,14.939,0.004,11.25,-
2241,5125347,5926,4.48,2.80,7.165,11.150,1.391,2.78,-
2242,9336200,5383,4.79,1.51,1.756,16.185,0.027,27.99,-
2248,11030475,5128,4.61,1.05,0.762,14.742,0.008,19.89,-
2250,5942808,4749,4.49,3.10,2.935,24.320,0.020,14.92,-
2259,8126558,5331,4.40,2.60,12.192,23.131,0.456,5.70,-
2261,3734418,5052,4.51,1.05,3.976,11.367,0.002,14.74,-
2266,10489345,4778,4.49,2.07,1.004,28.078,0.172,8.21,-
2273,9717943,5934,4.31,1.04,6.110,12.566,0.161,0.98,-
2274,7960980,5065,4.66,2.40,9.990,31.273,4.325,6.38,-
2283,10206675,4226,4.60,1.46,17.402,43.888,0.299,5.72,-
2287,9718066,4607,3.89,0.70,16.092,38.637,0.750,3.29,G
2293,8321314,5328,4.38,2.00,15.033,25.846,2.994,3.27,-
2298,9334893,4649,4.55,1.00,16.667,18.165,0.025,8.24,-
2299,9963265,5830,4.74,10.40,16.487,17.049,0.044,3.69,-
2300,10583761,5096,4.27,1.26,2.685,28.694,1.749,2.83,-
2303,4458082,6333,4.34,1.43,4.894,2.444,0.091,0.95,N
2305,10874215,5591,4.80,2.40,31.034,23.782,3.263,3.80,-
2306,6666233,3878,4.73,0.94,0.512,25.357,0.042,9.30,-
2307,7661065,5315,4.56,1.90,4.150,19.624,0.019,10.95,-
2311,4247991,5338,4.90,0.99,13.725,12.734,0.004,12.54,-
2314,3219995,5893,4.51,2.26,18.871,12.757,0.013,4.99,-
2318,11495458,4558,4.53,1.30,10.459,15.605,0.010,6.82,-
2325,7120108,4869,4.35,1.34,1.026,29.806,0.058,5.98,-
2329,11192235,3815,4.75,1.34,1.615,35.128,0.059,7.29,-
2339,7033233,4606,4.38,1.13,2.032,18.057,0.013,24.45,-
2343,6119141,5549,4.36,2.70,29.073,31.815,0.148,1.90,-
2346,8561231,5500,4.87,2.52,28.685,20.532,3.037,4.36,-
2350,6200235,5180,4.37,1.60,1.078,10.909,0.003,15.34,-
2354,7215678,5818,4.52,1.59,1.151,13.842,0.116,2.73,-
2355,11670125,4691,4.49,1.45,1.217,18.467,0.004,21.47,-
2356,11461844,5820,4.58,1.60,13.682,17.011,0.459,1.42,-
2358,5716932,6188,4.51,2.19,56.494,5.831,0.025,0.79,-
2361,11566256,5803,4.80,1.90,5.784,20.219,0.973,3.98,-
2367,9086251,6047,4.34,1.12,6.892,11.216,0.065,0.47,-
2370,5385304,6521,4.19,5.70,78.728,1.776,0.002,0.77,-
2376,11701407,5019,4.47,2.70,18.827,36.373,4.218,2.75,-
2377,5906426,5054,4.51,1.60,13.903,23.804,0.079,5.58,-
2378,10813132,5430,4.43,1.54,4.767,23.609,0.925,4.50,-
2386,4172013,5597,4.93,1.94,16.269,7.937,0.037,3.14,-
2390,10289119,5775,4.29,1.66,16.105,29.067,0.088,0.79,-
2392,7382313,5524,4.42,1.38,7.427,15.346,0.006,8.47,-
2397,9269042,5053,4.60,1.68,12.001,23.306,0.114,5.49,-
2398,6199056,6257,4.17,1.80,1.169,1.337,0.000,0.50,-
2399,11461433,5011,4.84,0.90,1.917,27.785,0.884,2.76,-
2400,7984574,5628,4.67,2.50,11.619,18.443,0.098,3.86,-
2401,10336951,4422,4.66,1.35,38.230,27.173,0.063,5.81,-
2403,2142522,6046,4.41,1.13,13.324,10.378,0.187,1.10,-
2413,3234598,4534,4.53,1.32,12.905,29.778,0.214,2.96,-
2417,9654468,4300,4.55,2.96,47.709,21.555,0.035,20.23,N
2418,10027247,3724,4.84,1.66,86.830,17.620,0.003,6.51,-
2421,8838950,4586,4.67,0.72,2.270,27.950,1.283,2.04,-
2432,7047363,5228,4.75,2.12,31.057,27.409,0.200,9.17,-
2444,3354846,5319,4.56,2.40,18.553,19.226,0.021,17.39,-
2448,5857540,4862,4.39,3.30,13.628,28.943,4.107,4.29,-
2453,8631751,3565,4.86,1.23,1.531,62.385,0.361,6.87,-
2457,9753154,6514,4.16,1.14,3.704,3.190,0.188,0.50,-
2458,7604328,5247,4.38,1.70,4.354,25.766,0.447,5.29,-
2466,8544992,4359,4.61,0.95,3.173,32.426,0.315,2.13,-
2469,6149910,4727,4.42,2.01,131.190,36.823,0.607,3.93,-
2473,8753896,5174,4.57,1.92,3.244,28.051,0.108,6.24,-
2474,8240617,5284,4.60,1.66,176.830,25.124,0.224,2.06,-
2482,11403389,5550,4.66,1.96,45.089,25.196,0.878,4.52,-
2485,11125613,4966,4.58,1.80,9.991,23.318,0.087,7.55,-
2490,3122913,4794,4.87,2.04,11.607,22.749,0.060,14.20,-
2493,10028535,4994,4.70,1.32,0.663,23.291,0.038,17.88,-
2497,11179076,4964,4.57,2.30,48.431,33.669,1.580,4.35,-
2504,8110767,5470,4.59,2.20,20.490,19.878,0.083,11.29,-
2507,8379705,5881,4.60,2.20,11.130,10.859,0.219,3.04,-
2512,9574158,5421,4.62,22.00,15.921,26.439,0.128,3.81,-
2517,8947520,5612,4.44,1.25,0.969,20.177,0.336,5.14,-
2519,4047631,4265,4.75,5.00,4.791,26.815,0.024,6.42,-
2520,10059645,4594,4.53,1.30,6.494,29.793,0.250,3.59,-
2522,9177629,4777,4.14,1.00,5.604,38.039,0.600,4.29,-
2525,5942949,4646,4.53,1.85,57.294,24.053,0.060,7.48,-
2529,8463346,4262,4.72,1.77,16.797,16.005,0.004,9.39,-
2531,4172746,4646,4.59,2.10,17.699,39.224,0.343,6.04,-
2532,5174858,5058,4.59,1.63,7.971,28.011,0.029,9.43,-
2535,9635606,4758,4.22,1.60,48.893,11.171,0.048,5.63,-
2542,6183511,3339,4.96,1.02,0.727,29.362,4.770,5.72,-
2543,12469800,4870,4.58,1.36,1.302,23.447,0.035,8.49,-
2544,8676148,5559,4.56,2.30,28.625,17.320,0.015,10.12,-
2545,9696358,6011,4.29,0.78,6.982,16.710,3.826,0.46,-
2552,8757824,6046,4.46,1.22,3.657,7.650,0.005,1.15,-
2553,9832208,4962,5.07,1.99,88.071,31.269,0.091,5.84,-
2554,10471621,4337,4.68,1.03,10.272,30.954,0.221,4.02,-
2555,5350244,6233,4.37,1.18,12.571,8.801,0.111,0.97,-
2571,6867588,5044,4.64,0.97,0.826,33.670,0.541,1.78,-
2573,8256453,5102,4.52,6.00,1.348,2.698,0.000,3.99,-
2578,6922203,5705,4.39,44.00,13.331,20.706,0.011,6.11,-
2580,11037511,5401,4.67,1.50,3.116,25.127,0.024,4.02,-
2581,11818872,5415,4.63,0.88,12.737,29.908,0.217,2.70,-
2588,12156347,4101,4.53,1.15,5.780,29.273,0.014,23.11,-
2593,8212002,5962,4.40,0.79,14.798,8.667,0.088,0.55,N
2607,5095635,5681,4.79,1.46,0.754,15.943,0.210,4.61,-
2608,6269070,6030,4.38,1.31,2.761,20.304,0.096,1.32,N
2613,9712350,5205,4.70,2.60,51.574,19.441,0.014,12.82,-
2623,10916600,6288,4.38,0.95,5.577,12.265,0.021,0.83,-
2625,9153570,5376,4.78,1.62,3.814,16.526,0.022,20.23,-
2632,11337566,6206,4.18,1.14,7.128,11.059,0.011,0.37,-
2636,6198182,5900,4.42,0.96,3.881,16.228,0.026,2.28,N
2650,8890150,3735,4.85,1.13,7.054,19.981,0.007,8.28,-
2652,4346178,5326,4.39,1.90,16.128,32.928,0.052,34.11,-
2662,3426367,3410,4.91,0.96,2.104,33.669,0.100,6.74,-
2668,5513012,5375,4.66,1.33,0.679,21.922,2.192,4.59,-
2672,11253827,5384,4.32,3.50,42.991,13.272,0.014,20.18,-
2675,5794570,5479,4.92,0.90,1.116,5.998,0.001,20.76,-
2678,6779260,5162,4.11,3.80,3.833,6.138,0.001,21.95,-
2679,6716021,6195,4.40,50.00,110.755,2.199,0.001,9.21,-
2680,8326342,5273,4.74,27.00,14.408,4.886,0.001,37.83,-
2686,7826659,4665,4.10,2.80,211.035,22.059,0.086,3.54,-
2687,7202957,5618,3.91,1.87,1.717,14.223,0.032,6.20,-
2690,5369827,5367,4.33,2.70,3.607,12.360,0.007,25.99,-
2691,4552729,4620,4.39,3.07,97.455,22.279,0.040,18.98,-
2693,5185897,4346,4.81,0.70,4.081,30.289,0.056,7.72,-
2694,9475552,4659,4.30,1.50,0.843,37.701,5.443,6.65,-
2696,11071200,6792,4.15,3.00,44.565,1.727,0.000,0.68,-
2699,6690836,5048,4.64,1.56,0.569,21.396,0.044,12.41,-
2700,8639908,4243,4.72,1.26,0.910,10.971,0.003,16.69,-
2703,5871985,4308,4.54,2.66,213.257,27.399,0.037,8.14,-
2705,11453592,3240,4.90,0.98,2.887,44.956,1.903,13.66,N
2706,9697131,6214,4.15,1.74,3.098,6.269,0.002,2.04,-
2708,5175986,4638,4.63,1.69,0.868,10.564,0.001,13.91,-
2711,5272233,5839,4.36,1.60,9.024,13.409,0.030,4.73,-
2715,9837661,4210,4.65,2.50,2.226,41.425,0.250,8.75,-
2719,5184911,4639,4.38,1.66,4.116,12.689,0.001,16.83,-
2722,7673192,6301,4.33,1.18,4.029,8.959,0.114,1.21,-
2733,5953297,4692,4.11,0.90,5.620,12.372,0.004,7.33,-
2734,7659389,5029,4.51,2.90,3.826,10.838,0.004,17.92,-
2735,9472074,4992,4.74,1.50,0.559,28.414,0.074,7.73,-
2736,10842192,4337,4.61,1.91,9.337,24.094,0.027,20.38,-
2743,8095441,5405,4.56,1.48,11.875,23.966,3.154,2.21,-
2747,6586746,4855,4.51,1.40,6.264,23.411,0.016,13.13,-
2751,9881077,4406,4.61,2.09,24.400,22.360,0.033,15.21,-
2757,6432345,5542,4.42,3.20,234.633,23.147,0.182,3.96,-
2760,7877978,4358,4.64,2.04,56.574,40.358,5.038,3.47,-
2762,8210018,4337,4.74,1.93,132.995,44.549,5.433,6.19,-
2763,3834322,4627,4.63,1.08,0.498,26.667,0.311,5.22,-
2764,10073672,3952,4.72,1.91,2.253,27.738,0.026,10.97,-
2768,9008737,5406,4.72,1.54,11.829,22.963,0.956,6.02,-
2771,11456382,6235,4.35,1.68,0.814,2.664,0.002,1.83,N
2778,7769819,5214,4.45,2.01,2.216,25.386,3.175,7.48,-
2789,8885643,5956,4.53,1.47,3.402,21.309,1.958,1.49,-
2798,6697756,4225,4.30,1.42,0.916,31.447,3.906,2.31,-
2803,9898447,5421,4.59,0.76,2.378,16.929,0.014,1.12,-
2816,11283615,5293,4.79,2.20,1.290,20.120,0.018,9.37,-
2821,4249611,5426,4.47,3.50,79.246,15.503,0.148,11.42,-
2827,7428736,5133,4.35,1.60,7.063,15.605,0.007,15.38,-
2828,6436029,4652,4.35,4.10,59.495,25.343,0.082,13.71,-
2832,9995402,5026,4.33,1.10,3.575,37.089,0.720,1.81,-
2835,5436338,4323,4.61,1.90,6.309,23.531,0.007,16.05,-
2836,11414465,4716,4.27,1.66,2.942,18.183,0.043,16.48,-
2839,6186964,3900,4.71,1.64,2.165,17.776,0.008,7.93,-
2845,10591855,3954,4.72,1.28,1.574,29.369,0.398,5.75,-
2848,7749773,5616,3.97,1.21,13.785,22.999,0.041,1.08,-
2849,10064256,5234,4.57,1.09,5.960,33.389,0.127,5.93,-
2851,6697605,5285,4.48,1.10,1.239,11.241,0.021,9.84,-
2862,6679295,3759,4.75,1.73,24.575,17.807,0.003,14.83,-
2868,8884274,5392,4.88,1.60,10.653,11.642,0.018,14.65,-
2876,4367854,4893,4.54,1.70,5.195,21.210,0.035,12.13,-
2877,7019524,5638,4.49,1.17,5.309,26.453,0.082,1.69,-
2882,5642620,4442,4.60,1.10,0.987,23.703,0.026,8.75,-
2883,5209845,4187,4.52,2.20,11.954,20.386,0.171,10.74,-
2898,11129258,5888,4.63,2.40,25.384,14.524,0.021,10.56,-
