q tstart       tstop
1 131.51188002 164.983257401
2 169.518900405 258.466998147
3 260.223735523 349.494411384
4 352.376612145 442.202053003
5 443.489554215 538.161240576
6 539.4497706 629.295933673
7 630.174122123 719.547035638
8 735.362356959 802.343677211
9 808.515158596 905.926043877
10 906.844606315 1000.26798452
11 1001.20729125 1098.32472627
12 1099.40749214 1182.02052093
13 1182.73588082 1273.05648746
14 1274.13960735 1371.321882
15 1373.48857279 1471.13612676
