star pmax prot height tau quality
236 1 0.777 0.115 2.448 74.96
236 3 4.395 0.062 0.130 2.93
236 5 3.843 0.095 1.633 90.82
236 10 8.442 0.310 8.133 90.29
236 30 9.832 0.221 5.424 33.03
236 50 9.423 0.105 2.248 6.63
236 100 22.504 0.079 8.031 63.18
237 1 0.858 0.260 0.639 75.77
237 3 2.514 0.269 1.584 44.95
237 5 3.046 0.229 1.471 35.19
237 10 5.069 0.069 1.299 9.24
237 30 40.491 0.720 60.473 242.20
237 50 42.597 1.077 88.095 2121.28
237 100 43.925 0.948 47.460 74.42
238 1 0.654 0.079 0.023 2.97
238 3 nan -inf nan nan
238 5 nan -inf nan nan
238 10 12.550 0.439 22.799 703.95
238 30 13.122 0.866 43.207 5080.64
238 50 13.122 0.685 45.725 1896.82
238 100 13.225 0.220 50.399 465.90
239 1 0.858 0.077 0.291 6.79
239 3 1.983 0.244 1.685 118.80
239 5 2.003 0.088 0.570 4.40
239 10 3.965 0.126 0.818 12.42
239 30 15.269 0.061 14.363 6.01
239 50 42.985 0.561 53.212 149.48
239 100 44.273 0.599 75.287 112.73
240 1 0.634 0.081 0.022 3.05
240 3 nan -inf nan nan
240 5 nan -inf nan nan
240 10 nan -inf nan nan
240 30 42.086 0.233 17.897 27.78
240 50 43.762 0.473 33.026 97.32
240 100 55.147 0.567 34.843 15.23
241 1 0.613 0.077 0.728 20.43
241 3 2.780 0.037 0.350 6.46
241 5 5.846 0.043 0.260 5.30
241 10 8.912 0.044 2.448 33.19
241 30 19.643 0.836 48.093 8188.65
241 50 19.704 0.674 48.615 1241.47
241 100 19.173 0.371 54.648 145.80
242 1 0.736 0.131 0.022 4.34
242 3 2.862 0.086 0.766 30.32
242 5 3.761 0.078 1.517 91.02
242 10 9.484 0.076 2.344 19.02
242 30 32.949 0.810 75.312 358.57
242 50 33.276 1.050 111.785 1773.23
242 100 33.480 0.891 104.286 689.42
243 1 0.818 0.126 0.021 3.78
243 3 nan -inf nan nan
243 5 nan -inf nan nan
243 10 11.119 0.501 35.813 1404.00
243 30 11.548 0.818 34.776 1408.00
243 50 11.528 0.607 29.392 720.97
243 100 10.894 0.120 1.370 1.98
244 1 0.123 0.034 0.031 7.10
244 3 nan -inf nan nan
244 5 4.251 0.062 1.292 65.58
244 10 13.960 0.280 13.666 123.52
244 30 14.614 0.821 30.565 4525.87
244 50 14.614 0.652 30.181 1685.90
244 100 14.798 0.285 26.539 841.59
245 1 0.613 0.129 0.022 5.14
245 3 nan -inf nan nan
245 5 nan -inf nan nan
245 10 nan -inf nan nan
245 30 15.923 0.048 10.267 564.83
245 50 15.289 0.025 4.068 38.85
245 100 80.983 0.051 39.036 247.03
246 1 0.818 0.167 0.336 22.92
246 3 2.616 0.203 1.171 39.15
246 5 3.965 0.261 2.014 44.89
246 10 8.646 0.380 7.184 62.28
246 30 23.485 0.559 18.732 70.06
246 50 25.121 0.311 11.577 16.79
246 100 42.821 0.202 12.829 18.82
247 1 0.756 0.126 0.023 3.94
247 3 nan -inf nan nan
247 5 nan -inf nan nan
247 10 13.981 0.316 14.549 299.80
247 30 15.514 0.979 45.487 2907.77
247 50 15.596 0.831 51.542 3714.11
247 100 15.616 0.410 81.971 956.78
248 1 0.777 0.213 0.280 27.43
248 3 2.575 0.283 1.026 40.72
248 5 4.333 0.170 1.654 25.70
248 10 10.302 0.143 3.477 15.85
248 30 20.992 1.272 94.706 7593.16
248 50 21.135 0.986 78.632 1892.70
248 100 20.562 0.505 41.138 76.80
249 1 0.797 0.085 0.021 2.39
249 3 nan -inf nan nan
249 5 nan -inf nan nan
249 10 nan -inf nan nan
249 30 34.625 0.060 11.292 63.51
249 50 34.318 0.081 19.103 338.13
249 100 32.172 0.049 11.106 61.47
250 1 0.613 0.145 1.038 57.50
250 3 nan -inf nan nan
250 5 nan -inf nan nan
250 10 15.596 0.166 8.424 51.29
250 30 16.291 0.824 40.203 4352.89
250 50 16.250 0.698 36.156 1236.69
250 100 16.188 0.354 32.305 230.07
251 1 0.899 0.201 0.581 48.36
251 3 2.616 0.272 0.212 4.25
251 5 2.698 0.147 0.813 19.31
251 10 12.407 0.666 24.811 634.82
251 30 12.979 0.886 27.587 1738.93
251 50 12.918 0.671 23.671 331.83
251 100 12.387 0.183 1.699 3.03
252 1 0.777 0.135 2.577 95.56
252 3 nan -inf nan nan
252 5 nan -inf nan nan
252 10 9.075 0.063 2.892 96.28
252 30 34.727 0.158 24.541 82.38
252 50 39.899 0.528 168.851 3711.16
252 100 39.980 0.362 249.518 572.72
253 1 0.756 0.134 0.029 4.02
253 3 nan -inf nan nan
253 5 5.621 0.198 3.117 53.16
253 10 6.847 0.400 4.735 314.22
253 30 6.582 0.173 1.243 2.44
253 50 30.885 0.378 24.939 269.20
253 100 30.496 0.254 20.572 35.73
254 1 0.777 0.123 0.031 3.92
254 3 4.292 0.154 0.211 2.78
254 5 4.946 0.255 2.316 33.08
254 10 11.201 0.949 27.705 319.80
254 30 11.446 0.913 25.975 1621.66
254 50 11.242 0.618 22.927 311.38
254 100 71.376 0.129 26.247 38.84
255 1 0.123 0.041 0.027 5.30
255 3 2.473 0.072 0.757 23.38
255 5 3.945 0.151 1.509 85.09
255 10 8.585 0.193 3.450 73.98
255 30 38.672 0.267 11.174 10.61
255 50 42.372 0.545 42.916 275.65
255 100 45.581 0.294 22.995 46.25
256 1 0.675 0.145 0.021 4.84
256 3 nan -inf nan nan
256 5 nan -inf nan nan
256 10 9.627 0.059 4.837 225.83
256 30 23.138 0.393 50.847 696.83
256 50 23.731 0.423 73.474 1963.28
256 100 23.955 0.316 58.732 430.54
257 1 0.123 0.035 0.028 5.46
257 3 2.800 0.060 0.147 5.15
257 5 5.192 0.076 1.461 22.87
257 10 15.248 0.194 0.959 3.72
257 30 35.954 1.219 186.163 1385.71
257 50 36.342 1.478 166.399 9400.04
257 100 36.689 1.308 110.152 1459.58
258 1 0.899 0.119 2.551 67.32
258 3 2.616 0.073 0.147 8.31
258 5 4.538 0.049 1.322 37.64
258 10 10.894 0.488 14.181 157.07
258 30 22.259 1.165 149.679 1156.41
258 50 22.341 1.131 166.756 2823.13
258 100 22.382 0.814 180.760 9444.14
259 1 0.797 0.081 0.021 2.34
259 3 nan -inf nan nan
259 5 nan -inf nan nan
259 10 nan -inf nan nan
259 30 29.147 0.045 17.850 248.49
259 50 27.471 0.058 20.355 530.86
259 100 53.511 0.044 10.397 22.58
260 1 0.879 0.117 0.022 3.27
260 3 2.678 0.059 -3.182 -0.45
260 5 nan -inf nan nan
260 10 7.767 0.069 3.250 136.91
260 30 28.064 0.454 32.917 231.55
260 50 29.372 0.546 52.852 185.55
260 100 27.962 0.266 7.493 6.32
261 1 0.797 0.131 0.022 3.92
261 3 2.759 0.052 0.120 6.82
261 5 nan -inf nan nan
261 10 9.034 0.109 3.631 138.57
261 30 17.435 0.138 7.655 69.67
261 50 31.273 0.087 8.531 10.96
261 100 90.262 0.239 43.102 39.16
262 1 0.123 0.032 0.030 6.14
262 3 3.168 0.159 1.594 24.11
262 5 3.311 0.119 1.252 11.09
262 10 5.805 0.231 2.846 23.06
262 30 23.036 0.437 14.319 81.89
262 50 24.507 0.410 13.773 53.70
262 100 24.957 0.241 11.507 16.42
263 1 0.695 0.129 0.023 4.35
263 3 2.494 0.046 0.383 10.44
263 5 5.989 0.049 0.251 9.26
263 10 14.001 0.136 4.610 29.62
263 30 36.178 1.005 116.686 703.34
263 50 36.076 1.358 184.462 5516.12
263 100 36.383 1.253 128.335 4198.48
264 1 nan -inf nan nan
264 3 4.395 0.084 0.174 5.10
264 5 4.742 0.181 2.292 52.10
264 10 12.714 1.143 52.066 868.49
264 30 13.000 1.391 44.887 3984.27
264 50 13.020 1.131 38.396 2763.28
264 100 13.081 0.377 37.109 714.07
265 1 0.756 0.172 0.040 4.08
265 3 2.596 0.267 3.099 140.40
265 5 2.678 0.289 4.082 348.26
265 10 2.412 0.150 0.429 4.37
265 30 26.837 0.628 28.203 303.16
265 50 28.841 0.569 26.617 624.69
265 100 27.471 0.242 9.243 10.32
266 1 0.123 0.049 0.031 10.86
266 3 2.964 0.122 5.877 97.17
266 5 4.231 0.203 2.462 240.04
266 10 10.547 0.156 3.063 10.03
266 30 20.419 0.342 12.902 87.57
266 50 22.177 0.166 9.388 17.03
266 100 20.746 0.042 4.046 1.04
267 1 0.613 0.125 0.024 5.20
267 3 2.085 0.073 0.149 12.31
267 5 4.619 0.066 0.341 10.84
267 10 8.646 0.129 4.860 141.74
267 30 26.326 0.946 51.525 403.61
267 50 26.899 0.871 64.103 410.06
267 100 26.735 0.518 83.993 191.58
268 1 0.123 0.040 0.032 9.43
268 3 nan -inf nan nan
268 5 nan -inf nan nan
268 10 11.528 0.058 5.370 89.08
268 30 11.794 0.075 5.324 71.45
268 50 11.160 0.050 2.149 7.62
268 100 70.456 0.150 46.895 103.15
269 1 nan -inf nan nan
269 3 nan -inf nan nan
269 5 6.745 0.048 0.276 7.10
269 10 7.501 0.229 8.544 142.85
269 30 21.707 1.476 302.259 49829.36
269 50 21.768 1.290 410.150 23228.67
269 100 21.707 0.867 359.260 18062.31
270 1 0.818 0.155 0.034 3.67
270 3 2.187 0.106 0.801 33.70
270 5 4.006 0.116 1.315 29.80
270 10 11.835 0.443 17.528 241.08
270 30 12.591 0.591 13.690 202.75
270 50 11.814 0.326 6.575 19.07
270 100 27.103 0.054 3.907 0.99
271 1 0.838 0.101 0.233 9.71
271 3 2.473 0.168 0.877 19.90
271 5 4.762 0.113 0.316 2.65
271 10 11.569 0.307 9.096 51.33
271 30 12.632 0.440 8.639 121.02
271 50 12.611 0.312 7.123 60.23
271 100 12.550 0.112 1.922 6.60
272 1 0.756 0.170 0.239 21.04
272 3 2.514 0.234 0.994 49.01
272 5 4.313 0.254 1.692 50.23
272 10 13.940 0.425 12.207 42.60
272 30 14.471 0.800 50.877 892.27
272 50 14.124 0.470 42.083 131.65
272 100 28.738 0.118 56.797 14.65
273 1 0.818 0.091 0.030 2.54
273 3 2.391 0.155 0.853 50.45
273 5 4.088 0.115 1.625 23.60
273 10 7.011 0.201 3.062 67.11
273 30 18.069 0.190 7.908 7.86
273 50 45.295 0.466 18.823 16.10
273 100 44.661 0.285 18.293 41.63
274 1 0.552 0.130 0.023 5.89
274 3 nan -inf nan nan
274 5 5.662 0.043 0.264 9.14
274 10 7.624 0.123 6.272 81.44
274 30 16.352 0.746 56.173 1439.44
274 50 16.393 0.630 53.450 1103.69
274 100 16.495 0.333 89.760 1015.24
275 1 0.695 0.141 0.175 7.82
275 3 3.291 0.039 0.436 6.69
275 5 5.907 0.070 0.339 4.22
275 10 9.300 0.157 6.744 83.75
275 30 9.443 0.062 2.001 6.66
275 50 19.888 0.051 16.527 13.69
275 100 78.366 0.241 65.650 194.01
276 1 0.695 0.132 0.022 4.45
276 3 nan -inf nan nan
276 5 nan -inf nan nan
276 10 nan -inf nan nan
276 30 35.565 0.055 27.999 317.63
276 50 39.755 0.186 63.569 4341.34
276 100 41.145 0.156 52.429 213.54
277 1 0.143 0.077 0.027 2.64
277 3 1.308 0.565 1.690 667.70
277 5 1.288 0.403 1.457 168.44
277 10 1.186 0.133 0.166 4.66
277 30 22.402 0.257 16.215 195.32
277 50 24.058 0.208 14.232 96.98
277 100 22.852 0.110 6.933 8.74
278 1 0.797 0.120 0.030 3.56
278 3 2.616 0.152 0.893 45.10
278 5 4.722 0.137 1.854 62.69
278 10 12.632 0.740 13.091 156.83
278 30 13.817 0.718 18.182 352.40
278 50 13.572 0.428 13.048 68.83
278 100 27.798 0.048 4.143 1.39
279 1 nan -inf nan nan
279 3 nan -inf nan nan
279 5 nan -inf nan nan
279 10 10.199 0.049 3.037 91.22
279 30 27.430 0.078 6.435 23.29
279 50 45.908 0.317 100.051 390.79
279 100 47.952 0.294 197.331 307.44
280 1 0.654 0.139 0.070 5.28
280 3 nan -inf nan nan
280 5 nan -inf nan nan
280 10 nan -inf nan nan
280 30 31.804 0.073 11.043 47.81
280 50 45.847 0.201 32.269 105.67
280 100 51.243 0.096 17.632 8.57
281 1 0.613 0.137 0.084 4.31
281 3 nan -inf nan nan
281 5 5.989 0.079 2.485 62.29
281 10 12.284 0.294 9.410 54.46
281 30 12.857 0.589 15.223 417.64
281 50 12.898 0.476 15.530 443.85
281 100 13.449 0.178 15.231 261.60
282 1 0.797 0.119 0.031 3.78
282 3 4.129 0.187 1.743 24.71
282 5 4.435 0.538 4.052 463.29
282 10 5.294 0.303 2.709 41.71
282 30 5.049 0.124 0.859 3.26
282 50 24.569 0.110 9.745 33.59
282 100 22.075 0.037 4.541 3.12
283 1 0.123 0.033 0.029 6.14
283 3 4.415 0.289 2.547 34.18
283 5 4.415 0.770 9.154 372.73
283 10 4.517 0.745 10.410 400.07
283 30 4.579 0.267 9.972 381.01
283 50 6.582 0.028 0.913 3.70
283 100 73.890 0.178 137.335 550.96
284 1 0.613 0.143 0.022 5.54
284 3 nan -inf nan nan
284 5 nan -inf nan nan
284 10 nan -inf nan nan
284 30 16.372 0.340 22.870 1054.56
284 50 16.229 0.273 19.549 199.74
284 100 15.003 0.134 28.364 33.35
285 1 0.736 0.076 0.022 2.48
285 3 2.616 0.040 -1.112 -0.00
285 5 5.805 0.049 0.282 6.23
285 10 7.338 0.111 4.154 146.11
285 30 22.300 0.126 8.490 15.99
285 50 43.005 0.392 35.380 48.81
285 100 48.034 0.317 36.331 44.14
286 1 0.756 0.135 0.021 4.25
286 3 nan -inf nan nan
286 5 nan -inf nan nan
286 10 nan -inf nan nan
286 30 21.646 0.275 19.154 924.92
286 50 22.933 0.185 13.117 106.29
286 100 21.176 0.083 3.625 2.35
287 1 0.797 0.133 0.022 3.85
287 3 nan -inf nan nan
287 5 4.722 0.037 1.176 33.32
287 10 10.036 0.356 24.988 1528.20
287 30 10.199 0.463 31.379 2233.08
287 50 10.220 0.344 28.748 1566.22
287 100 94.432 0.060 49.472 151.55
288 1 0.143 0.021 0.032 3.13
288 3 2.371 0.140 0.838 61.88
288 5 6.234 0.162 0.481 4.43
288 10 18.069 0.474 7.290 9.97
288 30 18.416 1.046 32.076 2577.18
288 50 18.498 0.825 24.750 296.76
288 100 17.926 0.366 14.574 27.52
289 1 0.818 0.149 0.038 3.68
289 3 2.555 0.215 0.993 45.86
289 5 4.313 0.255 1.738 48.82
289 10 8.789 0.280 3.519 42.77
289 30 33.419 0.260 14.073 12.79
289 50 38.059 0.443 39.550 114.92
289 100 40.450 0.090 11.596 2.68
290 1 0.634 0.135 0.022 5.14
290 3 nan -inf nan nan
290 5 nan -inf nan nan
290 10 12.734 0.281 30.316 1921.78
290 30 13.654 0.750 22.655 981.73
290 50 13.633 0.617 19.467 474.09
290 100 13.633 0.230 15.671 143.98
291 1 0.736 0.138 0.021 4.44
291 3 nan -inf nan nan
291 5 6.868 0.054 0.287 7.20
291 10 12.121 0.250 7.256 70.03
291 30 13.306 0.409 12.874 543.65
291 50 13.204 0.290 9.987 122.81
291 100 12.652 0.115 25.175 53.03
292 1 0.695 0.123 0.237 11.45
292 3 nan -inf nan nan
292 5 nan -inf nan nan
292 10 8.442 0.044 2.572 116.20
292 30 43.864 0.137 41.632 135.49
292 50 42.637 0.473 125.659 3448.59
292 100 43.046 0.466 90.556 1529.43
293 1 0.123 0.038 0.028 5.84
293 3 2.146 0.076 0.776 44.74
293 5 3.802 0.091 1.245 41.47
293 10 6.295 0.065 1.982 53.52
293 30 40.921 0.648 63.407 266.68
293 50 41.268 1.089 119.195 509.18
293 100 41.738 0.986 234.528 530.18
294 1 nan -inf nan nan
294 3 nan -inf nan nan
294 5 nan -inf nan nan
294 10 9.995 0.036 3.038 80.80
294 30 45.070 0.178 80.403 278.94
294 50 45.295 0.662 140.695 4053.51
294 100 46.582 0.752 106.671 3245.01
295 1 0.736 0.098 0.033 4.08
295 3 2.248 0.309 1.441 83.54
295 5 3.965 0.379 1.819 20.22
295 10 4.006 0.200 1.368 39.47
295 30 21.768 0.684 273.806 785.44
295 50 22.790 0.118 7.144 0.53
295 100 42.760 0.824 74.577 168.78
296 1 0.593 0.134 0.725 39.56
296 3 nan -inf nan nan
296 5 nan -inf nan nan
296 10 10.179 0.036 2.683 57.20
296 30 31.641 0.429 52.594 115.97
296 50 31.457 0.605 48.527 154.82
296 100 31.191 0.489 44.512 130.57
297 1 0.675 0.130 0.022 4.87
297 3 2.821 0.074 0.171 8.49
297 5 nan -inf nan nan
297 10 9.566 0.226 5.096 152.24
297 30 26.715 1.510 457.614 24601.26
297 50 26.715 1.513 647.909 20923.31
297 100 26.817 1.221 470.068 21016.67
298 1 0.777 0.170 0.023 4.68
298 3 2.637 0.052 -1.647 -0.04
298 5 5.866 0.043 0.269 5.44
298 10 7.256 0.094 4.027 154.65
298 30 26.572 0.152 13.653 41.41
298 50 49.383 0.137 8.714 11.32
298 100 78.918 0.221 53.842 141.42
299 1 0.736 0.118 0.023 4.24
299 3 3.066 0.072 0.158 6.77
299 5 5.928 0.120 2.311 25.22
299 10 6.520 0.150 2.946 21.67
299 30 12.468 0.151 4.763 9.97
299 50 11.814 0.060 2.208 1.15
299 100 50.221 0.065 9.380 0.30
300 1 0.695 0.120 0.357 14.62
300 3 nan -inf nan nan
300 5 nan -inf nan nan
300 10 13.552 0.119 5.555 33.87
300 30 25.509 1.141 138.126 2045.27
300 50 25.775 1.141 124.937 2788.28
300 100 25.836 0.879 97.058 3041.07
301 1 0.695 0.132 0.022 4.51
301 3 nan -inf nan nan
301 5 nan -inf nan nan
301 10 10.772 0.132 14.796 502.30
301 30 10.874 0.243 33.672 2718.35
301 50 10.792 0.188 35.693 1484.36
301 100 84.539 0.028 5.675 24.61
302 1 0.797 0.298 0.348 44.39
302 3 2.535 0.324 1.058 42.94
302 5 4.333 0.332 1.807 42.28
302 10 9.443 0.170 3.251 15.04
302 30 32.418 0.828 77.605 349.14
302 50 33.133 1.027 104.220 2012.09
302 100 33.133 0.546 95.925 256.73
303 1 0.123 0.036 0.030 6.72
303 3 3.291 0.088 0.469 11.57
303 5 3.863 0.116 2.090 128.33
303 10 8.094 0.177 4.115 21.92
303 30 15.023 0.676 33.117 953.93
303 50 15.044 0.567 31.360 1265.98
303 100 15.003 0.270 26.326 189.51
304 1 0.634 0.080 0.114 4.61
304 3 nan -inf nan nan
304 5 nan -inf nan nan
304 10 13.736 0.080 7.209 90.47
304 30 14.512 0.399 86.835 12108.77
304 50 14.431 0.340 97.217 9930.88
304 100 14.574 0.148 86.380 1914.33
305 1 0.756 0.132 0.022 4.28
305 3 2.657 0.055 0.125 7.56
305 5 nan -inf nan nan
305 10 7.951 0.099 4.277 172.53
305 30 31.314 0.277 34.399 128.72
305 50 32.540 0.391 39.595 287.23
305 100 32.642 0.148 10.371 7.24
306 1 0.736 0.109 0.202 11.01
306 3 2.085 0.147 2.282 154.52
306 5 2.085 0.105 5.351 272.07
306 10 1.942 0.063 0.366 8.49
306 30 15.575 0.165 7.894 90.82
306 50 14.553 0.079 4.039 9.92
306 100 70.865 0.212 56.325 128.56
307 1 0.143 0.025 0.058 2.62
307 3 2.391 0.120 0.832 53.68
307 5 4.415 0.096 1.607 36.18
307 10 9.648 0.158 4.228 43.32
307 30 23.281 0.362 13.049 49.05
307 50 25.018 0.240 13.006 26.32
307 100 56.005 0.173 17.861 15.39
308 1 0.123 0.039 0.031 8.96
308 3 nan -inf nan nan
308 5 nan -inf nan nan
308 10 9.832 0.060 4.928 128.61
308 30 18.518 0.317 21.038 604.62
308 50 18.723 0.255 19.727 444.76
308 100 17.926 0.171 7.767 37.04
309 1 0.695 0.137 0.317 15.33
309 3 nan -inf nan nan
309 5 5.273 0.045 0.229 10.25
309 10 nan -inf nan nan
309 30 20.706 0.117 8.134 1.73
309 50 38.877 0.954 85.327 645.34
309 100 39.326 0.847 72.171 723.46
310 1 0.797 0.129 0.022 3.86
310 3 nan -inf nan nan
310 5 nan -inf nan nan
310 10 10.056 0.105 4.104 185.92
310 30 41.595 0.895 83.150 271.61
310 50 42.985 1.124 94.480 2393.79
310 100 43.373 1.047 51.665 91.57
311 1 0.797 0.138 0.021 3.92
311 3 nan -inf nan nan
311 5 nan -inf nan nan
311 10 9.750 0.051 2.968 94.17
311 30 22.750 0.087 14.398 66.61
311 50 44.538 0.301 55.607 222.48
311 100 45.887 0.339 53.960 453.90
312 1 0.123 0.032 0.028 5.69
312 3 2.616 0.055 0.154 5.65
312 5 5.968 0.117 0.363 6.42
312 10 11.119 0.151 4.150 17.28
312 30 18.498 0.700 27.237 1131.06
312 50 18.294 0.481 21.860 204.48
312 100 17.292 0.241 3.529 9.19
313 1 0.797 0.123 0.026 3.12
313 3 nan -inf nan nan
313 5 nan -inf nan nan
313 10 nan -inf nan nan
313 30 20.092 0.177 22.334 1366.87
313 50 20.378 0.146 17.295 523.98
313 100 20.051 0.092 34.290 152.72
314 1 0.675 0.076 0.022 2.68
314 3 nan -inf nan nan
314 5 nan -inf nan nan
314 10 8.769 0.064 3.101 162.39
314 30 33.113 0.516 38.516 369.48
314 50 36.587 0.595 30.692 67.18
314 100 40.634 0.246 17.697 7.24
315 1 0.654 0.082 0.048 3.67
315 3 nan -inf nan nan
315 5 nan -inf nan nan
315 10 8.666 0.138 5.942 253.00
315 30 17.558 0.353 9.699 45.04
315 50 18.355 0.251 8.900 42.53
315 100 18.171 0.160 3.880 4.56
316 1 0.675 0.125 0.022 4.72
316 3 2.453 0.089 1.128 53.66
316 5 2.432 0.072 0.996 195.66
316 10 8.094 0.094 4.170 106.46
316 30 17.946 0.074 3.283 18.62
316 50 11.038 0.049 3.909 74.11
316 100 12.938 0.031 2.122 24.47
317 1 0.123 0.032 0.030 6.28
317 3 nan -inf nan nan
317 5 5.641 0.419 5.349 475.60
317 10 6.847 0.234 2.892 2.67
317 30 16.127 1.022 25.174 384.92
317 50 16.168 0.862 23.823 278.29
317 100 16.331 0.429 23.245 196.39
318 1 0.715 0.136 2.194 90.10
318 3 nan -inf nan nan
318 5 nan -inf nan nan
318 10 nan -inf nan nan
318 30 35.095 0.083 11.944 45.92
318 50 35.708 0.128 27.653 186.01
318 100 36.056 0.078 14.803 32.24
319 1 0.756 0.122 0.023 4.06
319 3 2.412 0.081 0.584 31.05
319 5 4.762 0.094 1.375 40.51
319 10 12.284 0.190 3.338 20.16
319 30 38.182 0.872 80.021 425.59
319 50 38.693 1.207 96.657 1704.31
319 100 39.204 0.936 114.959 1008.40
320 1 0.777 0.089 0.029 3.72
320 3 3.924 0.631 5.378 144.40
320 5 4.108 1.053 6.441 514.61
320 10 4.272 0.919 4.190 117.02
320 30 4.415 0.333 3.478 149.72
320 50 5.682 0.099 8.056 54.22
320 100 84.294 0.372 227.650 1209.08
321 1 0.736 0.074 0.026 2.61
321 3 2.739 0.106 0.673 25.18
321 5 5.090 0.097 1.834 30.31
321 10 15.371 0.251 4.121 9.50
321 30 19.459 0.555 14.359 163.81
321 50 20.644 0.392 12.402 39.33
321 100 19.868 0.223 4.553 4.94
322 1 0.756 0.242 6.661 57.76
322 3 1.513 1.354 5.031 3733.93
322 5 1.513 1.198 3.905 1568.85
322 10 1.533 0.612 3.446 1836.36
322 30 31.293 0.101 21.573 167.03
322 50 2.126 0.206 0.298 6.77
322 100 31.559 0.048 7.692 3.69
323 1 0.123 0.042 0.031 9.39
323 3 1.451 0.053 0.387 30.08
323 5 3.066 0.043 0.373 13.13
323 10 11.814 0.423 15.697 526.34
323 30 12.591 0.469 11.281 121.51
323 50 11.794 0.246 2.409 4.97
323 100 73.849 0.385 61.810 124.51
324 1 0.123 0.036 0.030 7.43
324 3 nan -inf nan nan
324 5 nan -inf nan nan
324 10 15.228 0.201 26.532 673.52
324 30 15.391 1.006 100.210 13146.41
324 50 15.371 0.798 80.202 2317.88
324 100 15.146 0.355 58.130 442.11
325 1 0.756 0.118 0.031 3.79
325 3 2.800 0.111 0.980 24.09
325 5 5.008 0.151 1.974 28.45
325 10 8.912 0.310 4.658 69.67
325 30 22.034 0.780 24.891 209.22
325 50 22.668 0.661 22.205 207.89
325 100 22.443 0.385 15.864 73.41
326 1 0.756 0.163 0.230 19.44
326 3 2.371 0.229 0.966 64.68
326 5 4.374 0.260 1.790 46.56
326 10 9.177 0.184 3.281 19.13
326 30 18.723 0.122 6.150 8.36
326 50 41.861 0.191 15.387 18.00
326 100 99.256 0.462 80.843 36.67
327 1 0.123 0.034 0.031 7.19
327 3 2.494 0.068 0.377 16.97
327 5 4.231 0.080 1.297 54.93
327 10 8.871 0.095 3.918 81.99
327 30 26.183 0.484 50.411 350.58
327 50 26.245 0.503 72.646 601.74
327 100 24.671 0.255 6.882 5.85
328 1 0.756 0.110 0.058 4.08
328 3 2.718 0.087 0.913 27.26
328 5 5.294 0.144 1.406 39.17
328 10 10.220 0.222 4.311 22.31
328 30 18.069 0.616 18.086 1249.55
328 50 18.089 0.470 14.514 451.43
328 100 17.783 0.226 5.046 11.02
329 1 0.123 0.034 0.029 5.97
329 3 1.533 0.075 0.540 43.75
329 5 1.431 0.045 0.383 21.34
329 10 8.564 0.054 -6.466 -0.08
329 30 22.463 0.999 113.068 2601.60
329 50 22.606 0.966 111.935 910.67
329 100 22.606 0.675 106.189 611.31
330 1 0.143 0.015 0.032 2.30
330 3 2.310 0.112 0.918 43.97
330 5 2.923 0.092 1.081 109.17
330 10 9.280 0.219 9.153 102.44
330 30 18.437 0.797 32.791 719.15
330 50 18.580 0.727 26.292 430.20
330 100 18.825 0.455 25.647 363.37
331 1 0.838 0.110 0.231 7.93
331 3 2.494 0.145 0.869 45.29
331 5 3.863 0.178 1.524 81.81
331 10 9.402 0.223 3.596 41.08
331 30 40.307 0.420 21.425 25.07
331 50 43.455 0.786 53.244 130.69
331 100 45.908 0.696 49.704 154.38
332 1 0.634 0.107 0.115 7.78
332 3 2.841 0.108 1.421 31.51
332 5 2.943 0.137 2.508 155.39
332 10 2.923 0.084 0.985 25.71
332 30 39.612 0.179 21.211 26.66
332 50 44.538 0.723 111.785 340.75
332 100 53.103 0.367 24.416 4.24
333 1 0.123 0.041 0.032 9.57
333 3 nan -inf nan nan
333 5 nan -inf nan nan
333 10 9.586 0.071 4.550 214.20
333 30 26.326 1.329 401.650 45165.21
333 50 26.388 1.326 357.232 35980.47
333 100 26.347 1.039 459.344 34413.93
334 1 0.777 0.135 0.021 3.85
334 3 nan -inf nan nan
334 5 nan -inf nan nan
334 10 9.995 0.348 17.918 1970.25
334 30 10.670 0.307 6.940 97.32
334 50 10.281 0.181 2.525 10.06
334 100 90.875 0.167 36.038 24.30
335 1 0.675 0.136 0.022 4.81
335 3 nan -inf nan nan
335 5 nan -inf nan nan
335 10 12.019 0.092 6.196 144.86
335 30 26.551 0.552 25.845 78.11
335 50 27.042 0.469 20.236 168.15
335 100 26.510 0.227 10.295 20.40
336 1 0.756 0.104 0.214 9.89
336 3 1.656 0.115 0.602 20.31
336 5 4.272 0.144 1.542 24.44
336 10 9.872 0.993 23.994 2067.78
336 30 10.118 0.755 17.480 478.85
336 50 9.954 0.449 14.405 107.96
336 100 65.285 0.330 88.554 169.39
337 1 0.838 0.126 2.821 86.11
337 3 nan -inf nan nan
337 5 5.192 0.092 2.418 103.75
337 10 13.122 0.478 16.116 131.12
337 30 13.879 0.789 15.885 870.86
337 50 13.858 0.604 14.776 221.47
337 100 13.736 0.214 2.318 5.92
338 1 nan -inf nan nan
338 3 nan -inf nan nan
338 5 nan -inf nan nan
338 10 11.487 0.666 21.031 737.81
338 30 11.876 0.759 23.368 295.27
338 50 11.794 0.497 21.600 149.95
338 100 25.202 0.177 4.666 15.95
339 1 0.123 0.040 0.030 7.59
339 3 2.575 0.074 0.139 8.07
339 5 4.170 0.091 1.362 63.28
339 10 9.116 0.101 3.963 60.73
