star pmax prot height tau quality
24 1 0.715 0.130 0.022 4.39
24 3 nan -inf nan nan
24 5 4.742 0.037 0.266 11.75
24 10 12.387 0.213 19.927 380.28
24 30 12.611 0.650 66.226 16607.07
24 50 12.591 0.529 67.549 14770.19
24 100 12.652 0.166 56.644 2095.28
25 1 0.797 0.119 0.023 3.68
25 3 2.923 0.062 5.166 65.89
25 5 nan -inf nan nan
25 10 10.445 0.455 20.920 261.84
25 30 20.583 1.312 163.811 3327.20
25 50 20.603 1.218 218.199 6368.57
25 100 20.522 0.832 379.828 18022.14
26 1 0.143 0.024 0.033 4.06
26 3 2.351 0.072 0.159 11.61
26 5 6.398 0.058 0.287 7.37
26 10 11.937 0.154 5.867 83.36
26 30 11.508 0.092 2.442 0.64
26 50 34.748 0.788 73.478 66.30
26 100 33.583 0.591 101.835 131.24
27 1 0.123 0.041 0.028 6.92
27 3 2.330 0.077 0.795 40.75
27 5 4.619 0.107 1.226 36.27
27 10 10.567 0.183 6.026 48.66
27 30 11.630 0.236 9.055 208.25
27 50 11.732 0.160 6.591 89.11
27 100 80.206 0.141 44.906 99.89
28 1 0.695 0.114 0.024 4.12
28 3 2.739 0.059 0.132 7.54
28 5 nan -inf nan nan
28 10 12.591 0.081 4.306 54.19
28 30 14.165 0.216 13.162 1119.14
28 50 14.451 0.178 11.716 673.82
28 100 14.471 0.094 2.609 18.45
29 1 0.818 0.133 2.736 95.59
29 3 nan -inf nan nan
29 5 nan -inf nan nan
29 10 8.973 0.049 2.107 58.07
29 30 33.787 0.163 54.642 526.98
29 50 34.768 0.377 71.523 2325.45
29 100 34.380 0.305 45.998 204.58
30 1 0.715 0.123 0.022 4.59
30 3 nan -inf nan nan
30 5 4.313 0.080 1.480 78.15
30 10 8.094 0.100 3.468 120.74
30 30 21.360 0.748 33.698 1403.08
30 50 21.748 0.512 27.412 63.73
30 100 20.992 0.246 151.658 219.09
31 1 0.654 0.080 0.296 8.90
31 3 nan -inf nan nan
31 5 nan -inf nan nan
31 10 7.563 0.066 3.261 128.05
31 30 29.597 0.332 137.339 860.52
31 50 29.740 0.445 108.877 1530.65
