star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
148 3.924 0.367 1.18e+00 0.030 nan -inf nan nan nan -inf nan nan 41.268 1.342 7.50e+01 0.003 42.576 0.774 5.04e+01 0.020 
149 0.552 0.152 1.05e-01 0.111 7.297 0.425 2.98e+00 0.027 14.451 0.727 1.23e+01 0.009 14.451 0.691 1.10e+01 0.009 14.328 0.635 9.42e+00 0.012 
150 1.921 0.661 1.93e+00 0.022 1.901 0.586 1.75e+00 0.027 1.880 0.427 3.26e-01 0.035 1.880 0.361 2.91e-01 0.042 1.880 0.316 2.77e-01 0.030 
151 2.841 0.073 2.95e-01 0.089 nan -inf nan nan 16.229 1.056 2.46e+01 0.001 16.188 0.808 2.15e+01 0.013 15.330 0.507 3.88e+00 0.061 
152 0.511 0.728 5.91e-01 0.061 0.511 0.687 5.35e-01 0.043 1.615 0.675 1.61e+00 0.056 1.615 0.635 1.61e+00 0.054 1.615 0.598 1.49e-01 0.043 
153 0.572 0.096 1.30e-01 0.112 0.552 0.277 5.52e-01 0.141 12.325 0.256 4.23e+00 0.028 10.608 0.128 2.00e+00 0.196 33.419 0.379 9.47e+00 0.022 
154 nan -inf nan nan 7.440 0.644 4.44e+00 0.037 14.921 1.276 3.31e+01 0.003 14.921 1.202 2.88e+01 0.003 14.758 1.072 2.33e+01 0.004 
155 1.697 0.055 3.43e-01 0.074 6.561 0.080 2.38e-01 0.032 9.116 0.031 4.51e-01 0.049 11.998 0.076 1.62e+00 0.167 28.452 0.062 2.02e+00 0.189 
156 0.593 0.090 1.54e-01 0.096 0.572 0.176 5.72e-01 0.116 nan -inf nan nan 29.536 0.652 2.28e+01 0.008 29.536 0.497 1.66e+01 0.015 
157 0.572 0.155 1.43e-01 0.073 0.572 0.129 5.72e-01 0.132 9.198 0.059 9.07e-01 0.275 10.343 0.052 1.10e+00 0.257 10.343 0.047 1.15e+00 0.203 
158 0.797 0.139 1.82e-01 0.358 0.797 0.135 1.64e-01 0.182 2.535 0.420 3.59e-01 0.112 2.535 0.357 3.47e-01 0.155 2.535 0.328 3.43e-01 0.090 
159 0.593 0.115 3.58e-01 0.092 0.552 0.218 5.52e-01 0.102 18.866 1.063 2.33e+01 0.005 18.784 0.797 2.22e+01 0.013 18.212 0.579 1.22e+01 0.029 
160 0.552 0.121 1.15e-01 0.109 7.869 0.142 6.03e-01 0.081 25.938 0.796 1.91e+01 0.011 27.267 0.491 1.69e+01 0.009 75.913 0.503 2.72e+01 0.025 
161 3.250 0.264 1.28e+00 0.021 nan -inf nan nan 23.158 1.119 3.05e+01 0.008 23.363 1.010 3.42e+01 0.009 23.077 0.775 2.42e+01 0.032 
162 nan -inf nan nan nan -inf nan nan nan -inf nan nan 32.029 1.059 3.83e+01 0.003 32.029 0.553 2.72e+01 0.021 
163 3.311 0.274 9.54e-01 0.032 3.332 0.076 6.91e-01 0.349 6.398 0.273 1.24e+00 0.021 6.336 0.211 9.33e-01 0.102 6.255 0.394 8.31e-01 0.134 
164 1.186 0.388 5.82e-01 0.070 1.165 0.354 2.53e-01 0.056 2.371 0.282 3.00e-01 0.065 5.948 0.236 6.81e-01 0.102 14.287 0.159 1.68e+00 0.075 
165 0.552 0.147 1.07e-01 0.119 nan -inf nan nan nan -inf nan nan 31.661 0.919 2.82e+01 0.004 32.806 0.596 2.49e+01 0.004 
166 nan -inf nan nan nan -inf nan nan 14.635 1.111 2.62e+01 0.003 14.635 0.950 2.72e+01 0.010 14.308 0.685 1.62e+01 0.048 
167 nan -inf nan nan nan -inf nan nan 27.062 1.032 2.61e+01 0.025 27.369 1.014 3.56e+01 0.011 27.287 0.943 3.51e+01 0.011 
168 nan -inf nan nan nan -inf nan nan 12.795 0.421 6.24e+00 0.011 12.284 0.303 3.20e+00 0.039 11.937 0.262 1.94e+00 0.089 
169 0.552 0.121 1.05e-01 0.138 8.196 0.058 8.17e-01 0.108 21.544 1.549 6.42e+01 0.001 21.544 1.385 6.18e+01 0.001 21.544 1.284 6.17e+01 0.002 
170 4.006 0.222 2.10e-01 0.031 nan -inf nan nan 23.097 0.136 5.47e+00 0.056 47.032 0.712 2.84e+01 0.018 47.032 0.396 2.61e+01 0.037 
171 3.781 0.271 5.24e-01 0.042 nan -inf nan nan nan -inf nan nan nan -inf nan nan 65.367 0.869 7.41e+01 0.004 
172 4.088 0.272 9.14e-01 0.036 nan -inf nan nan 10.792 1.424 3.76e+01 0.003 10.772 1.329 3.52e+01 0.005 10.792 1.154 3.01e+01 0.008 
173 nan -inf nan nan nan -inf nan nan 14.921 1.247 2.95e+01 0.001 14.921 1.169 2.42e+01 0.008 14.696 1.016 2.45e+01 0.020 
174 3.516 0.224 2.07e-01 0.028 9.055 0.201 6.10e-01 0.041 21.687 1.269 3.59e+01 0.003 21.707 1.094 3.76e+01 0.003 21.666 0.946 3.44e+01 0.006 
175 4.190 0.400 1.38e+00 0.028 nan -inf nan nan nan -inf nan nan 40.246 0.715 2.56e+01 0.009 42.270 0.156 1.49e+01 0.135 
176 0.552 0.054 1.18e-01 0.222 0.531 0.144 5.31e-01 0.134 9.361 0.030 9.90e-01 0.287 12.059 0.044 1.48e+00 0.187 12.059 0.058 1.44e+00 0.071 
177 4.006 0.385 1.36e+00 0.024 8.462 0.349 2.54e+00 0.030 nan -inf nan nan 35.790 1.001 3.72e+01 0.004 33.767 0.587 2.47e+01 0.044 
178 1.267 0.263 3.76e-01 0.045 1.226 0.223 2.10e-01 0.076 8.973 0.057 1.61e+00 0.884 8.932 0.048 1.44e+00 0.632 10.199 0.034 1.56e+00 0.595 
179 4.231 0.358 1.12e+00 0.037 nan -inf nan nan 22.504 0.845 1.84e+01 0.006 23.853 0.420 1.40e+01 0.012 22.606 0.234 6.24e+00 0.077 
180 nan -inf nan nan nan -inf nan nan 18.048 0.253 7.72e+00 0.124 34.870 1.051 4.15e+01 0.014 34.993 0.953 4.62e+01 0.013 
181 2.105 0.561 1.55e+00 0.010 2.064 0.481 1.32e+00 0.016 2.064 0.403 6.64e-01 0.013 2.044 0.377 5.10e-01 0.011 2.044 0.340 4.08e-01 0.011 
182 4.333 0.196 2.26e-01 0.035 nan -inf nan nan nan -inf nan nan 32.172 1.005 3.01e+01 0.006 32.315 0.700 2.53e+01 0.009 
183 0.552 0.123 1.05e-01 0.143 8.585 0.192 4.35e-01 0.033 17.967 0.172 4.44e+00 0.027 33.787 0.371 9.09e+00 0.029 33.787 0.108 6.32e+00 0.126 
184 0.572 0.095 1.48e-01 0.095 0.552 0.125 5.52e-01 0.115 nan -inf nan nan 34.973 0.849 2.66e+01 0.012 35.647 0.596 2.36e+01 0.011 
185 3.822 0.197 1.97e-01 0.030 7.604 0.096 3.76e-01 0.057 17.313 0.097 3.73e+00 0.090 36.812 0.408 1.24e+01 0.027 40.634 0.131 1.05e+01 0.059 
186 3.577 0.392 1.01e+00 0.028 nan -inf nan nan 9.995 0.108 1.80e+00 0.211 42.167 1.045 4.60e+01 0.014 44.416 0.727 4.77e+01 0.017 
187 2.759 0.296 8.97e-01 0.028 2.678 0.146 4.83e-01 0.048 16.270 0.557 1.05e+01 0.017 16.250 0.331 6.47e+00 0.045 13.552 0.242 2.07e+00 0.167 
188 0.552 0.136 1.04e-01 0.130 7.133 0.275 1.88e+00 0.035 13.572 0.161 2.74e+00 0.192 12.836 0.130 2.12e+00 0.183 12.325 0.126 1.91e+00 0.151 
189 nan -inf nan nan 8.564 0.413 3.11e+00 0.016 9.034 0.045 1.64e+00 0.234 15.023 0.197 2.56e+00 0.046 15.023 0.181 2.37e+00 0.030 
190 3.046 0.137 8.00e-01 0.159 9.177 1.517 2.37e+01 0.001 9.259 1.393 3.11e+01 0.001 9.259 1.323 2.98e+01 0.003 9.218 1.088 2.20e+01 0.014 
191 3.046 0.411 1.59e+00 0.014 3.046 0.177 9.84e-01 0.042 19.152 0.729 1.30e+01 0.021 20.440 0.592 1.34e+01 0.017 19.275 0.525 1.15e+01 0.012 
192 0.552 0.094 1.15e-01 0.139 5.437 0.042 3.63e-01 0.113 14.921 0.563 1.03e+01 0.015 13.817 0.373 5.37e+00 0.050 13.347 0.332 3.42e+00 0.049 
193 2.596 0.091 4.39e-01 0.088 8.155 1.409 1.75e+01 0.004 8.155 1.290 3.40e+01 0.006 8.155 1.239 4.06e+01 0.007 8.155 1.123 4.13e+01 0.010 
194 0.613 0.094 1.78e-01 0.075 0.613 0.166 1.29e-01 0.049 nan -inf nan nan 34.318 0.859 2.79e+01 0.005 33.215 0.355 1.50e+01 0.066 
195 0.552 0.120 1.06e-01 0.136 8.442 0.237 4.19e-01 0.031 19.336 0.155 5.60e+00 0.152 41.432 1.387 8.71e+01 0.010 41.861 1.388 1.53e+02 0.006 
196 0.593 0.097 1.34e-01 0.111 0.572 0.220 5.72e-01 0.118 19.581 0.470 8.97e+00 0.032 19.561 0.359 7.34e+00 0.020 15.371 0.269 2.45e+00 0.066 
197 nan -inf nan nan nan -inf nan nan 24.364 0.480 1.15e+01 0.011 44.825 0.842 3.39e+01 0.011 47.523 0.612 3.32e+01 0.013 
198 1.921 0.022 4.85e-01 1.559 7.399 0.610 4.20e+00 0.004 14.635 0.992 2.29e+01 0.025 14.614 0.949 2.98e+01 0.024 14.553 0.880 3.69e+01 0.026 
199 4.108 0.429 1.48e+00 0.017 7.501 0.479 3.33e+00 0.014 27.614 0.915 2.28e+01 0.007 29.270 0.869 2.13e+01 0.011 29.229 0.458 1.54e+01 0.020 
200 0.552 0.097 1.13e-01 0.141 nan -inf nan nan 10.629 0.307 4.13e+00 0.030 9.770 0.262 2.23e+00 0.045 9.688 0.243 1.58e+00 0.053 
201 3.720 0.259 2.32e-01 0.031 7.277 0.118 3.83e-01 0.046 10.731 0.068 1.18e+00 0.195 34.666 0.667 1.97e+01 0.024 34.645 0.391 1.49e+01 0.036 
202 3.209 0.196 1.10e+00 0.024 6.929 0.223 1.95e+00 0.042 21.482 0.236 4.82e+00 0.037 46.214 1.077 5.06e+01 0.017 47.359 1.026 7.86e+01 0.011 
203 4.251 0.316 3.45e-01 0.040 8.585 0.302 7.64e-01 0.039 23.567 0.814 1.78e+01 0.012 24.078 0.640 1.94e+01 0.007 23.690 0.494 1.34e+01 0.021 
204 0.552 0.089 1.19e-01 0.145 4.742 0.068 2.61e-01 0.043 27.696 0.221 1.16e+00 0.029 nan -inf nan nan 59.766 0.471 3.41e+01 0.013 
205 3.516 0.134 2.30e-01 0.055 3.516 0.023 4.77e-01 0.432 13.633 0.032 2.41e+00 0.345 nan -inf nan nan 52.592 0.842 5.71e+01 0.005 
206 4.231 0.226 2.12e-01 0.032 8.687 0.212 4.43e-01 0.033 nan -inf nan nan 40.532 0.611 2.17e+01 0.015 45.254 0.164 2.40e+01 0.108 
207 0.552 0.107 1.10e-01 0.137 7.072 0.092 3.01e-01 0.046 27.573 0.449 9.80e+00 0.032 32.377 0.653 1.83e+01 0.009 33.787 0.378 1.60e+01 0.011 
208 3.863 0.345 1.19e+00 0.028 8.544 0.387 2.72e+00 0.029 nan -inf nan nan 39.980 0.817 3.12e+01 0.006 41.881 0.311 1.92e+01 0.039 
209 nan -inf nan nan nan -inf nan nan 11.262 0.700 1.40e+01 0.027 10.935 0.486 7.45e+00 0.065 10.486 0.302 1.69e+00 0.165 
210 nan -inf nan nan 8.115 0.485 3.80e+00 0.007 15.820 0.984 2.02e+01 0.005 15.820 0.874 1.76e+01 0.004 15.800 0.734 1.37e+01 0.013 
211 4.149 0.343 3.37e-01 0.045 6.827 0.132 1.86e+00 0.044 nan -inf nan nan 31.763 1.167 5.66e+01 0.001 31.600 0.961 6.22e+01 0.011 
212 3.986 0.349 1.04e+00 0.034 6.541 0.197 1.99e+00 0.025 nan -inf nan nan 38.325 1.425 8.81e+01 0.002 38.774 1.256 1.15e+02 0.005 
213 4.517 0.479 1.84e+00 0.019 9.239 0.795 6.53e+00 0.012 9.893 0.220 3.96e+00 0.074 9.464 0.153 4.41e+00 0.129 8.953 0.269 1.44e+00 0.122 
214 1.349 0.931 2.48e+00 0.038 1.349 0.659 2.61e-01 0.079 12.182 0.098 2.48e+00 1.752 12.182 0.077 2.36e+00 2.019 12.182 0.072 2.27e+00 1.465 
215 3.475 0.217 4.41e-01 0.042 9.382 0.508 3.64e+00 0.035 11.651 0.122 3.88e+00 0.146 11.569 0.067 3.29e+00 0.235 10.220 0.051 2.08e+00 0.239 
216 3.863 0.386 1.42e+00 0.015 8.564 0.532 4.33e+00 0.012 17.496 1.100 2.78e+01 0.006 17.496 0.864 3.01e+01 0.018 17.190 0.588 2.13e+01 0.068 
217 3.986 0.156 6.33e-01 0.075 2.187 0.123 3.51e-01 0.133 nan -inf nan nan 34.973 0.977 3.65e+01 0.005 35.606 0.527 2.61e+01 0.044 
218 nan -inf nan nan 8.442 0.394 2.87e+00 0.023 18.314 1.013 2.13e+01 0.008 18.314 0.842 2.33e+01 0.022 17.905 0.710 1.47e+01 0.038 
219 0.654 0.061 1.53e-01 0.201 7.624 0.091 2.85e-01 0.043 11.017 0.038 1.59e+00 0.444 33.133 0.676 1.98e+01 0.026 33.194 0.473 1.64e+01 0.027 
220 nan -inf nan nan nan -inf nan nan 11.017 0.343 5.43e+00 0.072 9.709 0.204 1.73e+00 0.211 31.539 0.111 5.26e+00 0.301 
221 3.577 0.122 3.66e-01 0.070 nan -inf nan nan 21.482 1.044 2.35e+01 0.003 21.584 0.793 2.41e+01 0.006 21.544 0.615 1.63e+01 0.031 
222 3.618 0.249 3.24e-01 0.038 nan -inf nan nan 23.526 0.459 7.65e+00 0.024 19.377 0.139 5.58e+00 0.124 19.173 0.174 3.06e+00 0.142 
223 0.531 0.114 1.04e-01 0.135 7.215 0.110 5.12e-01 0.070 nan -inf nan nan 38.774 1.325 7.32e+01 0.003 39.020 0.937 7.38e+01 0.014 
224 nan -inf nan nan 8.953 0.374 2.01e+00 0.042 22.116 0.178 5.90e+00 0.045 36.485 0.184 1.16e+01 0.047 25.059 0.140 4.48e+00 0.115 
225 nan -inf nan nan nan -inf nan nan 10.588 1.183 2.83e+01 0.005 10.486 1.011 3.05e+01 0.017 10.445 0.799 2.40e+01 0.028 
226 nan -inf nan nan nan -inf nan nan 11.712 1.253 3.51e+01 0.006 11.630 1.062 3.68e+01 0.017 11.589 0.844 3.07e+01 0.034 
227 3.843 0.335 1.20e+00 0.022 8.462 0.393 2.62e+00 0.032 15.044 0.102 2.94e+00 0.158 45.765 1.081 4.86e+01 0.012 46.112 0.958 6.08e+01 0.005 
228 4.272 0.498 1.86e+00 0.016 7.624 0.195 2.18e+00 0.027 19.091 1.326 4.10e+01 0.003 19.091 1.057 4.71e+01 0.012 18.723 0.787 4.61e+01 0.044 
229 0.531 0.074 1.10e-01 0.173 4.108 0.034 2.62e-01 0.092 21.523 0.344 1.83e+00 0.035 20.971 0.122 3.46e+00 0.152 64.794 0.775 5.59e+01 0.014 
230 4.149 0.339 9.17e-01 0.042 nan -inf nan nan nan -inf nan nan 29.147 1.304 6.89e+01 0.002 28.902 0.958 6.34e+01 0.018 
231 0.593 0.110 1.52e-01 0.085 0.572 0.163 5.72e-01 0.108 17.435 0.345 7.23e+00 0.027 17.435 0.270 6.14e+00 0.020 15.861 0.254 3.16e+00 0.043 
232 3.986 0.804 2.93e+00 0.011 4.068 0.239 1.55e+00 0.111 8.074 0.211 1.41e+00 0.094 31.314 0.785 2.43e+01 0.033 31.620 0.731 2.84e+01 0.022 
233 4.272 1.172 5.95e+00 0.005 4.395 1.077 7.67e+00 0.003 4.395 0.970 7.49e+00 0.005 4.395 0.926 7.33e+00 0.007 4.395 0.856 6.56e+00 0.010 
234 3.475 0.241 5.34e-01 0.046 7.379 0.110 6.38e-01 0.064 24.405 1.142 3.22e+01 0.004 25.468 0.901 3.28e+01 0.004 24.466 0.636 2.53e+01 0.029 
235 3.822 0.417 1.33e+00 0.023 nan -inf nan nan 11.017 0.513 8.98e+00 0.034 10.363 0.340 2.08e+00 0.107 8.953 0.270 1.27e+00 0.213 
236 3.761 0.339 9.95e-01 0.032 8.380 0.604 4.59e+00 0.019 9.157 0.367 4.29e+00 0.044 9.116 0.282 2.85e+00 0.049 9.177 0.205 4.13e+00 0.042 
237 3.046 0.313 1.35e+00 0.023 3.802 0.093 1.06e+00 0.062 nan -inf nan nan 42.760 1.240 6.66e+01 0.003 43.986 1.047 6.55e+01 0.002 
238 3.577 0.196 2.33e-01 0.030 nan -inf nan nan 13.122 1.142 2.55e+01 0.002 13.041 1.053 2.71e+01 0.004 12.959 0.939 2.59e+01 0.011 
239 2.003 0.162 6.52e-01 0.132 1.860 0.141 3.58e-01 0.102 3.843 0.258 5.44e-01 0.096 28.800 0.170 7.98e+00 0.283 44.743 0.712 3.98e+01 0.017 
240 0.572 0.088 1.40e-01 0.106 0.572 0.139 5.72e-01 0.119 23.342 0.108 6.98e+00 0.092 43.230 0.831 3.45e+01 0.009 55.698 0.676 4.27e+01 0.015 
241 4.231 0.227 2.32e-01 0.033 6.336 0.092 9.31e-01 0.061 19.745 1.191 2.94e+01 0.002 19.765 0.891 2.74e+01 0.006 19.418 0.705 2.27e+01 0.022 
242 3.638 0.357 1.14e+00 0.025 6.950 0.110 1.36e+00 0.060 nan -inf nan nan 33.358 1.265 5.60e+01 0.004 33.276 1.107 6.78e+01 0.009 
243 0.511 0.120 9.30e-02 0.138 nan -inf nan nan 11.487 1.221 2.68e+01 0.005 11.446 1.106 2.44e+01 0.010 11.385 0.842 1.61e+01 0.032 
244 4.149 0.235 2.50e-01 0.033 nan -inf nan nan 14.635 1.067 2.34e+01 0.002 14.471 0.958 2.18e+01 0.005 14.390 0.913 2.22e+01 0.004 
245 0.572 0.089 1.34e-01 0.120 0.552 0.131 5.52e-01 0.121 16.107 0.142 5.67e-01 0.038 15.555 0.121 9.06e-01 0.034 13.797 0.033 1.26e+00 0.192 
246 3.884 0.454 1.58e+00 0.013 8.585 0.468 3.37e+00 0.027 20.644 0.381 1.40e+01 0.028 24.242 0.344 1.18e+01 0.022 25.550 0.164 8.78e+00 0.040 
247 0.531 0.118 1.02e-01 0.130 nan -inf nan nan 15.412 1.196 2.93e+01 0.002 15.636 1.126 3.33e+01 0.002 15.350 1.022 3.26e+01 0.010 
248 4.211 0.380 1.35e+00 0.028 nan -inf nan nan 20.889 1.401 4.69e+01 0.002 21.155 1.098 4.40e+01 0.006 20.644 0.766 2.93e+01 0.041 
249 0.613 0.074 1.54e-01 0.119 0.593 0.147 1.16e-01 0.056 10.179 0.030 7.61e-01 0.219 20.665 0.072 1.67e+00 0.139 20.685 0.050 4.53e+00 0.148 
250 0.593 0.139 1.27e-01 0.098 nan -inf nan nan 16.229 1.137 2.82e+01 0.003 16.209 1.045 2.90e+01 0.004 16.209 0.904 2.52e+01 0.011 
251 2.678 0.234 6.66e-01 0.041 nan -inf nan nan 13.122 1.017 2.01e+01 0.004 13.081 0.913 1.98e+01 0.008 12.734 0.682 1.15e+01 0.033 
252 0.572 0.103 1.19e-01 0.133 8.810 0.226 3.22e-01 0.026 15.228 0.033 2.30e+00 0.580 40.818 0.890 3.19e+01 0.020 40.818 0.555 3.34e+01 0.040 
253 nan -inf nan nan 6.847 0.746 4.69e+00 0.003 6.602 0.258 1.73e+00 0.105 6.071 0.311 1.08e+00 0.113 5.968 0.317 9.26e-01 0.068 
254 nan -inf nan nan nan -inf nan nan 11.405 1.082 2.04e+01 0.004 11.344 0.927 1.81e+01 0.012 11.181 0.625 7.51e+00 0.036 
255 3.945 0.344 1.05e+00 0.034 8.605 0.329 2.12e+00 0.037 nan -inf nan nan 42.188 0.727 2.69e+01 0.017 45.049 0.346 2.20e+01 0.018 
256 0.613 0.104 1.59e-01 0.086 0.572 0.201 5.72e-01 0.122 23.424 0.873 1.87e+01 0.019 23.444 0.828 2.53e+01 0.015 23.444 0.782 2.95e+01 0.016 
257 3.700 0.296 9.71e-01 0.030 nan -inf nan nan nan -inf nan nan 36.281 1.603 1.30e+02 0.002 36.587 1.503 1.25e+02 0.001 
258 3.884 0.246 9.16e-01 0.030 nan -inf nan nan 22.341 1.303 4.03e+01 0.014 22.341 1.292 6.08e+01 0.010 22.341 1.243 8.11e+01 0.010 
259 0.593 0.076 1.50e-01 0.117 0.593 0.106 1.24e-01 0.057 6.766 0.064 3.99e-01 0.095 19.029 0.093 1.03e+00 0.080 19.009 0.058 1.84e+00 0.131 
260 2.800 0.194 2.52e-01 0.032 8.012 0.279 5.42e-01 0.037 nan -inf nan nan 28.963 0.730 2.65e+01 0.009 28.330 0.397 1.02e+01 0.075 
261 3.659 0.210 2.47e-01 0.037 8.932 0.273 7.14e-01 0.044 16.393 0.234 5.83e+00 0.020 14.696 0.054 3.20e+00 0.246 29.679 0.054 4.70e+00 0.528 
262 3.270 0.260 1.31e+00 0.019 5.825 0.367 2.17e+00 0.029 22.954 0.707 1.37e+01 0.009 23.261 0.464 1.22e+01 0.017 23.199 0.343 9.75e+00 0.029 
263 0.531 0.122 9.97e-02 0.136 nan -inf nan nan nan -inf nan nan 35.954 1.534 9.62e+01 0.002 36.301 1.476 1.31e+02 0.001 
264 nan -inf nan nan nan -inf nan nan 13.000 1.558 5.30e+01 0.001 12.959 1.496 4.53e+01 0.001 12.959 1.391 3.59e+01 0.002 
265 2.678 0.487 1.47e+00 0.017 2.555 0.263 5.06e-01 0.080 27.655 0.855 2.13e+01 0.012 28.984 0.632 2.22e+01 0.003 27.635 0.335 1.10e+01 0.045 
266 4.231 0.583 2.19e+00 0.011 nan -inf nan nan 19.827 0.550 9.91e+00 0.010 23.077 0.202 8.97e+00 0.023 19.663 0.091 4.49e+00 0.148 
267 nan -inf nan nan 8.626 0.383 2.03e+00 0.038 26.286 1.209 3.70e+01 0.003 26.837 0.985 3.64e+01 0.004 26.408 0.709 2.76e+01 0.026 
268 0.572 0.112 1.28e-01 0.105 0.552 0.226 5.52e-01 0.122 11.937 0.227 3.27e+00 0.031 11.303 0.194 1.95e+00 0.048 11.283 0.200 3.20e+00 0.090 
269 nan -inf nan nan 7.379 0.538 3.47e+00 0.016 21.687 1.689 8.83e+01 0.001 21.687 1.525 1.00e+02 0.003 21.687 1.397 1.34e+02 0.006 
270 3.945 0.324 4.51e-01 0.039 nan -inf nan nan 12.591 0.706 1.18e+01 0.004 12.080 0.463 6.89e+00 0.041 11.937 0.385 6.89e+00 0.077 
271 nan -inf nan nan nan -inf nan nan 12.448 0.525 7.82e+00 0.007 12.448 0.448 6.29e+00 0.013 12.448 0.395 4.56e+00 0.018 
272 4.149 0.384 1.35e+00 0.027 nan -inf nan nan 14.471 0.888 2.06e+01 0.010 14.144 0.606 1.61e+01 0.045 13.388 0.405 2.59e+00 0.084 
273 3.904 0.370 1.26e+00 0.026 7.113 0.309 2.42e+00 0.021 18.314 0.232 7.31e+00 0.019 12.182 0.050 2.33e+00 0.601 45.867 0.481 1.02e+01 0.024 
274 3.516 0.089 2.11e-01 0.059 7.563 0.427 2.87e+00 0.019 16.434 1.089 2.59e+01 0.007 16.413 1.006 3.00e+01 0.009 16.372 0.898 2.92e+01 0.014 
275 3.986 0.336 9.91e-01 0.039 5.887 0.102 1.36e+00 0.128 9.402 0.187 1.69e+00 0.061 9.300 0.158 1.42e+00 0.079 8.769 0.289 1.18e+00 0.117 
276 0.593 0.097 1.49e-01 0.090 0.593 0.135 1.24e-01 0.046 9.709 0.035 5.83e-01 0.240 38.713 0.551 1.67e+01 0.038 41.023 0.401 1.69e+01 0.025 
277 1.288 0.745 1.33e+00 0.016 1.267 0.563 6.69e-01 0.030 1.226 0.304 1.88e-01 0.120 1.226 0.238 1.77e-01 0.130 1.226 0.198 1.72e-01 0.096 
278 nan -inf nan nan nan -inf nan nan 13.756 0.794 1.52e+01 0.004 13.511 0.559 1.06e+01 0.020 13.020 0.429 3.85e+00 0.041 
279 0.572 0.101 1.41e-01 0.098 0.552 0.190 5.52e-01 0.111 10.649 0.085 1.79e+00 0.118 46.112 0.635 1.96e+01 0.037 46.950 0.476 3.08e+01 0.052 
280 0.572 0.107 1.29e-01 0.108 0.552 0.165 5.52e-01 0.122 nan -inf nan nan 45.111 0.472 1.53e+01 0.031 48.831 0.157 1.55e+01 0.052 
281 nan -inf nan nan 7.154 0.169 2.63e+00 0.098 12.775 0.832 1.35e+01 0.007 12.714 0.779 1.19e+01 0.007 12.652 0.750 1.11e+01 0.006 
282 4.456 0.930 4.02e+00 0.003 5.273 0.376 3.01e+00 0.019 4.742 0.246 1.27e+00 0.061 4.517 0.260 2.50e+00 0.070 4.435 0.236 7.51e-01 0.041 
283 4.415 1.199 6.12e+00 0.004 4.538 0.991 7.24e+00 0.006 4.497 0.773 6.13e+00 0.014 4.476 0.710 5.25e+00 0.012 4.497 0.602 3.84e+00 0.022 
284 0.572 0.060 1.33e-01 0.166 3.700 0.035 3.50e-01 0.212 16.393 0.643 1.26e+01 0.011 16.352 0.540 1.21e+01 0.021 15.125 0.383 3.01e+00 0.068 
285 2.657 0.072 2.76e-01 0.096 6.970 0.425 2.70e+00 0.020 22.218 0.198 7.15e+00 0.052 43.128 0.597 2.04e+01 0.018 51.611 0.381 2.42e+01 0.027 
286 0.572 0.076 1.27e-01 0.156 0.552 0.149 5.52e-01 0.130 22.034 0.718 1.41e+01 0.009 22.177 0.343 1.09e+01 0.019 21.360 0.201 4.79e+00 0.080 
287 0.552 0.146 1.07e-01 0.115 nan -inf nan nan 10.322 0.904 1.51e+01 0.010 10.281 0.878 1.68e+01 0.012 10.077 0.819 1.72e+01 0.011 
288 4.292 0.312 1.24e+00 0.026 nan -inf nan nan 18.396 1.123 2.99e+01 0.001 18.478 0.968 2.58e+01 0.003 18.294 0.673 1.49e+01 0.027 
289 4.251 0.395 1.32e+00 0.034 nan -inf nan nan nan -inf nan nan 38.386 0.581 2.00e+01 0.014 26.613 0.042 5.11e+00 0.679 
290 0.593 0.097 1.45e-01 0.092 nan -inf nan nan 13.695 1.160 2.41e+01 0.002 13.654 1.093 2.13e+01 0.003 13.572 0.979 1.71e+01 0.009 
291 nan -inf nan nan nan -inf nan nan 13.122 0.609 1.01e+01 0.005 12.857 0.496 7.93e+00 0.010 12.693 0.414 4.49e+00 0.025 
292 0.593 0.091 1.46e-01 0.107 0.572 0.168 5.72e-01 0.116 12.162 0.069 1.48e+00 0.189 42.433 0.872 3.32e+01 0.020 43.394 0.763 4.69e+01 0.014 
293 3.781 0.216 5.67e-01 0.057 6.132 0.138 7.80e-01 0.042 nan -inf nan nan 41.064 1.260 6.63e+01 0.003 41.697 1.132 8.38e+01 0.006 
294 0.572 0.105 1.44e-01 0.090 0.572 0.163 5.72e-01 0.104 22.688 0.061 2.38e+00 0.260 44.641 1.136 5.48e+01 0.010 45.847 1.117 8.24e+01 0.006 
295 3.986 0.622 1.33e+00 0.040 4.047 0.293 1.20e+00 0.017 21.809 0.831 1.71e+01 0.011 21.871 0.148 7.39e+00 0.714 42.719 0.981 4.96e+01 0.024 
296 0.572 0.111 1.31e-01 0.103 0.552 0.212 5.52e-01 0.109 nan -inf nan nan 31.988 0.948 3.37e+01 0.019 31.968 0.864 3.02e+01 0.020 
297 nan -inf nan nan nan -inf nan nan 26.837 1.601 9.12e+01 0.003 26.797 1.635 1.39e+02 0.001 26.797 1.594 2.24e+02 0.002 
298 2.800 0.085 2.70e-01 0.080 6.929 0.318 1.76e+00 0.036 22.627 0.190 4.02e+00 0.070 13.981 0.040 2.15e+00 0.268 36.035 0.047 4.95e+00 0.462 
